age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,M677_062_RSPagl.tif,33074328,11298836.815024402,1146800,894400
p12,M677,RSPagl,M677_063_RSPagl.tif,69771083,22431277.726059005,1355200,1040400
p12,M677,RSPagl,M677_064_RSPagl.tif,139811314,44978093.17080075,3100800,1648400
p12,M677,RSPagl,M677_065_RSPagl.tif,78836510,26100842.063261136,1925480,1288260
p12,M677,RSPagl,M677_066_RSPagl.tif,56348349,18593697.003374808,1967420,1260980
p12,M677,RSPagl,M677_067_RSPagl.tif,36061,14272.57744826443,800,800
p12,M677,RSPagl,M677_068_RSPagl.tif,102559,39872.81989942629,4800,3200
p12,M677,RSPagl,M677_070_RSPagl.tif,29517599,9412474.578382054,1472000,1165600
p12,M677,RSPagl,M677_071_RSPagl.tif,70768175,23110495.47010319,2370000,1558800
p12,M677,RSPagl,M677_072_RSPagl.tif,53916710,17261331.8417878,2279200,1430400
p12,M677,RSPagl,M677_073_RSPagl.tif,46995884,14648752.295777502,1200000,959200
p12,M677,RSPagl,M677_074_RSPagl.tif,56412001,18042242.8838631,1888000,1291600
p12,M677,RSPagl,M677_075_RSPagl.tif,26610055,8277811.841815565,1009440,798980
p12,M677,RSPagl,M677_076_RSPagl.tif,66244294,20172892.310775258,1048800,823600
p12,M677,RSPagl,M677_077_RSPagl.tif,89754495,27467020.318433553,1716000,963200
p12,M677,RSPagl,M677_078_RSPagl.tif,22572655,7098718.551856384,1050880,704440
p12,M677,RSPagl,M677_079_RSPagl.tif,74858505,23888192.716712903,1262800,988800
p12,M677,RSPagl,M677_080_RSPagl.tif,17140197,5494638.512758861,1185600,949200
p12,M677,RSPagl,M677_081_RSPagl.tif,31055977,9621674.917846305,1152000,869200
p12,M677,RSPagl,M677_082_RSPagl.tif,33525583,10771082.864184704,976000,736400
p12,M677,RSPagl,M677_083_RSPagl.tif,27492464,8781251.237912854,1062600,855440
p12,M677,RSPagl,M677_084_RSPagl.tif,46225903,15612585.41694191,1178880,962040
p12,M677,RSPagl,M677_086_RSPagl.tif,85616240,27665376.471699852,1340000,920000
p12,M677,RSPagl,M677_087_RSPagl.tif,28741873,9388486.8002868,1100800,787600
p12,M677,RSPagl,M677_088_RSPagl.tif,812655,282623.713968413,144400,101200
p12,M677,RSPagl,M677_090_RSPagl.tif,23398845,7667158.4733170895,1561300,998040
