age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,M677_062_RSPagl.tif,33074328,813230.5773750473,1146800,894400
p12,M677,RSPagl,M677_063_RSPagl.tif,69771083,2550949.159225113,1355200,1040400
p12,M677,RSPagl,M677_064_RSPagl.tif,139811314,4378384.92270126,3100800,1648400
p12,M677,RSPagl,M677_065_RSPagl.tif,78836510,1844102.483001013,1925480,1288260
p12,M677,RSPagl,M677_066_RSPagl.tif,56348349,949686.5808142312,1967420,1260980
p12,M677,RSPagl,M677_067_RSPagl.tif,36061,275.36026221021103,800,800
p12,M677,RSPagl,M677_068_RSPagl.tif,102559,1340.19187533728,4800,3200
p12,M677,RSPagl,M677_070_RSPagl.tif,29517599,399639.75394932635,1472000,1165600
p12,M677,RSPagl,M677_071_RSPagl.tif,70768175,1460223.017150964,2370000,1558800
p12,M677,RSPagl,M677_072_RSPagl.tif,53916710,1692730.93208741,2279200,1430400
p12,M677,RSPagl,M677_073_RSPagl.tif,46995884,758096.209288194,1200000,959200
p12,M677,RSPagl,M677_074_RSPagl.tif,56412001,1256960.166502044,1888000,1291600
p12,M677,RSPagl,M677_075_RSPagl.tif,26610055,542279.9702918265,1009440,798980
p12,M677,RSPagl,M677_076_RSPagl.tif,66244294,2007929.46695488,1048800,823600
p12,M677,RSPagl,M677_077_RSPagl.tif,89754495,2586929.4354715263,1716000,963200
p12,M677,RSPagl,M677_078_RSPagl.tif,22572655,366568.3602716235,1050880,704440
p12,M677,RSPagl,M677_079_RSPagl.tif,74858505,1236272.531341007,1262800,988800
p12,M677,RSPagl,M677_080_RSPagl.tif,17140197,336922.28924435657,1185600,949200
p12,M677,RSPagl,M677_081_RSPagl.tif,31055977,1213711.3110151063,1152000,869200
p12,M677,RSPagl,M677_082_RSPagl.tif,33525583,726323.0942059566,976000,736400
p12,M677,RSPagl,M677_083_RSPagl.tif,27492464,432859.4373308246,1062600,855440
p12,M677,RSPagl,M677_084_RSPagl.tif,46225903,1167676.9366291019,1178880,962040
p12,M677,RSPagl,M677_086_RSPagl.tif,85616240,1322174.3764890789,1340000,920000
p12,M677,RSPagl,M677_087_RSPagl.tif,28741873,464866.36414321885,1100800,787600
p12,M677,RSPagl,M677_088_RSPagl.tif,812655,16557.818170704984,144400,101200
p12,M677,RSPagl,M677_090_RSPagl.tif,23398845,408946.32172987843,1561300,998040
p12,M677,RSPagl,M677_091_RSPagl.tif,16739561,471024.7133958031,1289400,874280
p12,M677,RSPagl,M677_092_RSPagl.tif,23591403,1098178.6990897486,1839600,1248800
