age,identifier,region,image_count,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,37,1445826871,35390930.34390457,57038160,33033460
p12,M677,RSPd,37,2974838582,70330610.07907021,115913320,60961260
p12,M677,RSPv,37,3427825434,99175000.51186502,145705079,82259460
p12,M677,VISa,11,1132629964,24805123.925203595,35233580,19540620
p12,M677,VISal,10,501001533,12717828.062175978,28460899,14718580
p12,M677,VISam,12,532858772,11722894.992125463,17330060,10934220
p12,M677,VISl,8,195097501,5140324.153371443,16635700,7169840
p12,M677,VISli,8,164042500,3945991.448791965,16361120,5926880
p12,M677,VISp,20,4540595400,111549456.63169286,165148283,103403351
p12,M677,VISpm,15,311355714,8329155.35122963,18090920,11487820
p12,M677,VISpor,2,22453092,344499.1097634857,2422660,993500
p12,M677,VISrl,13,499234658,12909727.524242418,21819721,9554361
p12,M678,RSPagl,27,869697545,22669728.73078522,51970880,27145860
p12,M678,RSPd,27,1918233460,51169227.3757912,103672619,49593180
p12,M678,RSPv,27,2401197056,80211441.41757251,156054351,87434815
p12,M678,VISa,7,313571120,6854544.398287101,20441120,13783940
p12,M678,VISal,9,372550027,9902147.84759056,22978580,10914800
p12,M678,VISam,14,465481377,12739728.49733909,26265760,18092460
p12,M678,VISl,8,151884810,4945529.65009098,14764583,5374841
p12,M678,VISli,10,149952328,4344310.2612901535,16707320,5751080
p12,M678,VISp,21,3199188746,94868566.4286939,218178219,116680341
p12,M678,VISpm,20,669122977,17327809.33232853,33170360,19818500
p12,M678,VISpor,3,32313538,790614.5891687213,4347880,1927020
p12,M678,VISrl,12,548471270,13107483.190597946,36131239,18460160
p12,M704,RSPagl,40,1094535883,31253756.33534756,63428780,37100280
p12,M704,RSPd,40,2133088377,70995728.11759706,128984620,63446900
p12,M704,RSPv,40,2273135496,70832698.58221298,157638820,81893900
p12,M704,VISa,14,1075467206,35682421.94048209,56452660,33207400
p12,M704,VISal,11,194884504,6899099.160044481,29147481,14946321
p12,M704,VISam,12,166477100,6540885.656733707,13899740,6771640
p12,M704,VISl,12,147075583,6074801.340370276,23176960,9286880
p12,M704,VISli,13,142017425,3742952.635483228,19810860,6980180
p12,M704,VISp,20,1677567213,53931340.56992613,178067900,90808020
p12,M704,VISpm,21,351968963,13209056.433083164,35712980,20631420
p12,M704,VISpor,6,101179179,4973988.248776589,10319900,5984520
p12,M704,VISrl,14,204450191,8015114.994362877,26380580,10978040
p12,M705,RSPagl,47,767458375,20406091.983864307,69126300,33412880
p12,M705,RSPd,47,1571708770,55753394.87046081,135932080,59141180
p12,M705,RSPv,46,1843415475,67779896.06852902,158983580,77604600
p12,M705,VISa,16,896811867,18450010.516147744,51184900,28086940
p12,M705,VISal,12,203379946,4734877.127383553,22809060,11697560
p12,M705,VISam,18,482679680,16559528.095769987,33929520,19792260
p12,M705,VISl,18,372231291,14034596.444074966,44828080,23279080
p12,M705,VISli,17,159930177,5127328.051362874,23953320,10841620
p12,M705,VISp,28,1876080017,64901316.30103426,236799160,112747460
p12,M705,VISpm,25,291284328,8608787.399649592,31052740,16756080
p12,M705,VISpor,7,75193081,3799875.2848206726,10934720,5023400
p12,M705,VISrl,20,459228434,12811668.688133363,47236060,20195980
p12,M711,RSPagl,36,651983823,24858745.15662349,56080656,25904899
p12,M711,RSPd,36,1294608233,50817272.875393495,99185444,46735499
p12,M711,RSPv,30,1567181334,41968436.61603057,117464238,65122619
p12,M711,VISa,7,128452305,5558899.681903705,12891420,6591640
p12,M711,VISal,10,338429077,11295793.826420275,35123860,16356640
p12,M711,VISam,7,142320366,7725668.29825245,11131180,6988158
p12,M711,VISl,20,451156119,14527330.296960985,42008959,19641059
p12,M711,VISli,13,148889063,6952195.147590062,17791180,6885540
p12,M711,VISp,29,2256679408,79099341.39201476,172425750,92952116
p12,M711,VISpl,6,169125164,5610110.837163966,12222694,4853998
p12,M711,VISpm,18,321717738,15808245.791304164,25928560,14315980
p12,M711,VISpor,9,328923107,13677859.367321832,22108078,12006298
p12,M711,VISrl,9,173207263,5452754.969331236,22961100,9521820
p12,M758,RSPagl,54,1154245158,33613717.23650002,125749021,44955200
p12,M758,RSPd,55,1924400795,59619506.000994705,199297303,78808901
p12,M758,RSPv,46,1909002652,52628609.86791009,191453462,87584261
p12,M758,VISa,11,558854810,12111475.121655501,33351480,18418440
p12,M758,VISal,8,192461095,4436367.360055791,21471320,9830740
p12,M758,VISam,8,119282426,4074842.3799949256,8971960,6264920
p12,M758,VISl,29,753405439,21891630.819858275,75412060,39277280
p12,M758,VISli,23,333168406,8835755.906328237,41270682,18333800
p12,M758,VISp,41,3984304673,132840367.1141779,375875288,192186546
p12,M758,VISpl,9,510683383,11968055.302650375,34169262,11722299
p12,M758,VISpm,32,507259421,19538690.282792408,37302080,24424580
p12,M758,VISpor,23,581753611,16308494.25581399,49060098,25211060
p12,M758,VISrl,9,134883945,2940940.075674302,29904962,7225061
p20,M648,RSPagl,26,917827499,24169750.101327475,43012200,28990000
p20,M648,RSPd,26,1894755040,48319383.45519557,87172140,51547740
p20,M648,RSPv,26,1877771268,39329649.72068001,106362535,62817816
p20,M648,VISa,19,1628437547,34978586.65374679,92240679,51068259
p20,M648,VISal,9,342109731,9240727.196859956,26546739,13656739
p20,M648,VISam,17,671053456,14214849.652933564,32306660,18861740
p20,M648,VISl,1,8440800,271183.1253265472,637840,310460
p20,M648,VISp,7,1433958484,35839988.63744574,69611460,40349240
p20,M648,VISpm,5,105924479,2942599.37565397,9242820,4797600
p20,M648,VISrl,18,525334714,14189937.633958612,38880598,15338420
p20,M649,RSPagl,34,2587286452,68788478.61636205,46618780,30743380
p20,M649,RSPd,34,5034112850,135963795.68905586,101770020,57528620
p20,M649,RSPv,34,6039133758,186728248.4639344,128190436,77124938
p20,M649,VISa,12,2659970763,63481451.200854175,50761339,29609740
p20,M649,VISal,14,1266339040,34546555.93910632,33418260,16116779
p20,M649,VISam,20,1255136033,32770557.98644543,26345540,15061280
p20,M649,VISl,2,135706843,3068925.3401849195,6142420,2202960
p20,M649,VISli,2,128351518,3890208.2023340682,5755679,2827440
p20,M649,VISp,17,6956479222,190631868.797844,146606440,88058200
p20,M649,VISpm,12,896210671,23142204.467148338,18948540,11266520
p20,M649,VISrl,22,1024644522,25412112.691477053,36595279,11152640
p20,M712,RSPagl,38,667802542,20922878.46676496,57390980,32723040
p20,M712,RSPd,38,1342087483,37270998.552271284,111055440,56931700
p20,M712,RSPv,38,1546137486,47490309.31854448,149484117,84338399
p20,M712,VISa,12,200969591,4837390.03771892,21092840,11287080
p20,M712,VISal,11,155049879,6081491.938184941,24494160,11505820
