age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,M677_062_RSPagl.tif,33074328,645776.9744156414,1146800,894400
p12,M677,RSPagl,M677_063_RSPagl.tif,69771083,2056418.8479679045,1355200,1040400
p12,M677,RSPagl,M677_064_RSPagl.tif,139811314,3147906.610207166,3100800,1648400
p12,M677,RSPagl,M677_065_RSPagl.tif,78836510,1606784.827920186,1925480,1288260
p12,M677,RSPagl,M677_066_RSPagl.tif,56348349,890521.8079756018,1967420,1260980
p12,M677,RSPagl,M677_067_RSPagl.tif,36061,276.8099999999987,800,800
p12,M677,RSPagl,M677_068_RSPagl.tif,102559,1353.3950439539176,4800,3200
p12,M677,RSPagl,M677_070_RSPagl.tif,29517599,377188.27042341296,1472000,1165600
p12,M677,RSPagl,M677_071_RSPagl.tif,70768175,1281765.811415259,2370000,1558800
p12,M677,RSPagl,M677_072_RSPagl.tif,53916710,1354736.5925807424,2279200,1430400
p12,M677,RSPagl,M677_073_RSPagl.tif,46995884,667316.9069556891,1200000,959200
p12,M677,RSPagl,M677_074_RSPagl.tif,56412001,1085012.0926882057,1888000,1291600
p12,M677,RSPagl,M677_075_RSPagl.tif,26610055,488003.2300133539,1009440,798980
p12,M677,RSPagl,M677_076_RSPagl.tif,66244294,1471471.6932437315,1048800,823600
p12,M677,RSPagl,M677_077_RSPagl.tif,89754495,1817148.4426557128,1716000,963200
p12,M677,RSPagl,M677_078_RSPagl.tif,22572655,342358.71193712956,1050880,704440
p12,M677,RSPagl,M677_079_RSPagl.tif,74858505,1018825.7798989257,1262800,988800
p12,M677,RSPagl,M677_080_RSPagl.tif,17140197,304714.57470759086,1185600,949200
p12,M677,RSPagl,M677_081_RSPagl.tif,31055977,969003.6807895469,1152000,869200
p12,M677,RSPagl,M677_082_RSPagl.tif,33525583,614026.1390030718,976000,736400
p12,M677,RSPagl,M677_083_RSPagl.tif,27492464,402274.13613788405,1062600,855440
p12,M677,RSPagl,M677_084_RSPagl.tif,46225903,870669.2208313918,1178880,962040
p12,M677,RSPagl,M677_086_RSPagl.tif,85616240,1080523.1355121408,1340000,920000
p12,M677,RSPagl,M677_087_RSPagl.tif,28741873,432039.850764382,1100800,787600
p12,M677,RSPagl,M677_088_RSPagl.tif,812655,16315.156621651873,144400,101200
p12,M677,RSPagl,M677_090_RSPagl.tif,23398845,380901.74478740536,1561300,998040
p12,M677,RSPagl,M677_091_RSPagl.tif,16739561,362060.0985033214,1289400,874280
p12,M677,RSPagl,M677_092_RSPagl.tif,23591403,893541.8290589013,1839600,1248800
p12,M677,RSPagl,M677_093_RSPagl.tif,15890040,279967.76565795694,802400,550000
p12,M677,RSPagl,M677_094_RSPagl.tif,35607569,518587.21062043455,1268800,836800
p12,M677,RSPagl,M677_095_RSPagl.tif,9447956,166301.54562852325,1081080,600320
p12,M677,RSPagl,M677_096_RSPagl.tif,10568168,244871.5616101632,1345600,661600
p12,M677,RSPagl,M677_097_RSPagl.tif,31062236,478089.0607262917,1766400,543200
p12,M677,RSPagl,M677_098_RSPagl.tif,10499345,250968.00436647126,1687760,639400
p12,M677,RSPagl,M677_099_RSPagl.tif,25962099,706142.6360576826,1959600,792800
p12,M677,RSPagl,M677_100_RSPagl.tif,21657661,580923.9305043634,3417600,949600
p12,M677,RSPagl,M677_101_RSPagl.tif,35160519,885724.7911604509,6079920,1336480
p12,M677,RSPd,M677_062_RSPd.tif,52614137,1024534.2086303394,2481600,1284000
p12,M677,RSPd,M677_063_RSPd.tif,139247456,3301700.456331484,3035520,1597200
p12,M677,RSPd,M677_064_RSPd.tif,138829319,2648670.1872317432,4798180,1609400
p12,M677,RSPd,M677_065_RSPd.tif,107971245,2170211.6428018664,3371160,1619420
p12,M677,RSPd,M677_066_RSPd.tif,80824639,1505311.0662593464,2950220,1736660
p12,M677,RSPd,M677_068_RSPd.tif,72680600,1692061.2895353697,2736000,1414400
p12,M677,RSPd,M677_070_RSPd.tif,55677883,747348.5143713027,3104000,1964000
p12,M677,RSPd,M677_071_RSPd.tif,102656856,1976226.7426346822,3213600,2090800
p12,M677,RSPd,M677_072_RSPd.tif,78080118,1733323.1574237903,2930400,1922400
p12,M677,RSPd,M677_073_RSPd.tif,103461955,2085480.6915911497,3033600,1959600
p12,M677,RSPd,M677_074_RSPd.tif,116939767,2503471.8467435953,3116000,2148400
p12,M677,RSPd,M677_075_RSPd.tif,65236494,1128365.9700841466,2724680,1694820
p12,M677,RSPd,M677_076_RSPd.tif,188205992,3177431.745807548,2347380,1548340
p12,M677,RSPd,M677_077_RSPd.tif,143180529,3303640.5155066233,2813980,1778760
p12,M677,RSPd,M677_078_RSPd.tif,45126562,712885.3715505801,2324000,1364000
p12,M677,RSPd,M677_079_RSPd.tif,165012167,2458081.2971253046,2798320,1848520
p12,M677,RSPd,M677_080_RSPd.tif,39971824,822891.585530267,2742740,1766240
p12,M677,RSPd,M677_081_RSPd.tif,76580831,1414956.733347337,2540580,1637720
p12,M677,RSPd,M677_082_RSPd.tif,116360480,1871563.824949889,2332440,1481600
p12,M677,RSPd,M677_083_RSPd.tif,51113467,791574.4381584781,2314000,1476800
p12,M677,RSPd,M677_084_RSPd.tif,72752085,1311681.544882639,2391200,1481600
p12,M677,RSPd,M677_085_RSPd.tif,97423904,1606415.7175401296,3151500,1776080
p12,M677,RSPd,M677_086_RSPd.tif,97759500,1705056.7772829398,2939040,1794120
p12,M677,RSPd,M677_087_RSPd.tif,127344011,2778438.8739153272,3465600,2040800
p12,M677,RSPd,M677_088_RSPd.tif,123854820,2237070.2094584676,2268000,1227600
p12,M677,RSPd,M677_090_RSPd.tif,39822942,725497.3195020055,3129360,1704460
p12,M677,RSPd,M677_091_RSPd.tif,34081036,602128.0725248997,2881440,1619900
p12,M677,RSPd,M677_092_RSPd.tif,42475533,924451.0346571546,3603980,1895440
p12,M677,RSPd,M677_093_RSPd.tif,38648685,885254.408842563,2714400,1694000
p12,M677,RSPd,M677_094_RSPd.tif,101509608,1606848.9498052872,3619120,1923600
p12,M677,RSPd,M677_095_RSPd.tif,21694826,527443.2935921696,2267100,1312800
p12,M677,RSPd,M677_096_RSPd.tif,25703171,683366.8495299888,3109400,1602300
p12,M677,RSPd,M677_097_RSPd.tif,59222904,1156179.4716040723,3001600,907600
p12,M677,RSPd,M677_098_RSPd.tif,20376252,538655.2502279864,2955020,1208960
p12,M677,RSPd,M677_099_RSPd.tif,61148734,1291773.2558225913,4057560,1467080
p12,M677,RSPd,M677_100_RSPd.tif,40268224,751685.0569489242,5685960,1715180
p12,M677,RSPd,M677_101_RSPd.tif,30980026,867656.619004508,6964640,1646660
p12,M677,RSPv,M677_062_RSPv.tif,51312515,1333017.7807083572,2158000,1405600
p12,M677,RSPv,M677_063_RSPv.tif,147429220,5491784.926173047,2622620,1763300
p12,M677,RSPv,M677_064_RSPv.tif,269973808,6240825.348142528,6123260,3206400
p12,M677,RSPv,M677_065_RSPv.tif,119988346,3103094.16721068,2921460,1894940
p12,M677,RSPv,M677_066_RSPv.tif,68628126,1669117.526510309,2633880,1564180
p12,M677,RSPv,M677_068_RSPv.tif,52537086,1584611.9224042245,2502400,1399600
p12,M677,RSPv,M677_070_RSPv.tif,46229101,958647.3239388639,3040000,1799600
p12,M677,RSPv,M677_071_RSPv.tif,83638385,1542878.4890697475,2782400,1648000
p12,M677,RSPv,M677_072_RSPv.tif,69088005,1163356.34177345,2782400,1554000
p12,M677,RSPv,M677_073_RSPv.tif,80164092,1809671.407994869,2848000,1706000
p12,M677,RSPv,M677_074_RSPv.tif,93016718,3488647.974722601,2901600,1740800
p12,M677,RSPv,M677_075_RSPv.tif,53194867,970188.9106105193,2496000,1416400
p12,M677,RSPv,M677_076_RSPv.tif,194634524,5517210.1606977405,2434780,1545740
p12,M677,RSPv,M677_077_RSPv.tif,117783070,3429727.8592650597,2620800,1601200
p12,M677,RSPv,M677_078_RSPv.tif,55916272,936323.565979249,2855340,1731920
p12,M677,RSPv,M677_079_RSPv.tif,169087506,4580424.700907955,2945840,1808200
p12,M677,RSPv,M677_080_RSPv.tif,51010174,1618529.3390909208,2784000,1760400
p12,M677,RSPv,M677_081_RSPv.tif,86387855,1783567.3174814524,2919200,1768800
p12,M677,RSPv,M677_082_RSPv.tif,159370495,2489918.197336973,2953800,1779140
p12,M677,RSPv,M677_083_RSPv.tif,63378012,887523.0943614515,2900040,1810000
p12,M677,RSPv,M677_084_RSPv.tif,105926880,3479494.096607794,3828000,2231200
p12,M677,RSPv,M677_085_RSPv.tif,122508639,2951995.625340599,4688720,2885600
p12,M677,RSPv,M677_086_RSPv.tif,105878851,2591890.959065727,4928220,3029880
p12,M677,RSPv,M677_087_RSPv.tif,261693472,5653747.878417841,6585600,4361600
p12,M677,RSPv,M677_088_RSPv.tif,122509133,1409337.1013653362,4750000,2204400
p12,M677,RSPv,M677_090_RSPv.tif,96386279,1859780.5293978201,7608480,4453520
p12,M677,RSPv,M677_091_RSPv.tif,89618799,1262510.2160591986,6763520,4292640
p12,M677,RSPv,M677_092_RSPv.tif,69557240,1528184.5180522853,7216140,3847720
p12,M677,RSPv,M677_093_RSPv.tif,45237076,776229.812351071,4922159,3101660
p12,M677,RSPv,M677_094_RSPv.tif,91037879,1768208.7669598814,6611760,3583120
p12,M677,RSPv,M677_095_RSPv.tif,44212695,859688.3463745193,4899600,2947440
p12,M677,RSPv,M677_096_RSPv.tif,42369927,821809.9739501968,4651320,2738560
