age,identifier,region,percent_total
p3,M729,RSPv,15.0854
p3,M730,RSPv,17.7403
p3,M789,RSPv,12.7407
p3,M795,RSPv,29.3525
p3,M796,RSPv,21.3675
p12,M677,RSPv,13.9197
p12,M678,RSPv,12.0773
p12,M704,RSPv,16.5091
p12,M705,RSPv,19.7393
p12,M711,RSPv,15.8326
p12,M758,RSPv,14.0782
p20,M648,RSPv,3.4483
p20,M649,RSPv,15.1763
p20,M712,RSPv,16.0118
p20,M715,RSPv,6.7507
adult,M762,RSPv,3.0343
adult,M763,RSPv,5.57
adult,M764,RSPv,7.8966
adult,M773,RSPv,4.6907
adult,M776,RSPv,8.7931
p3,M729,RSPd,12.6186
p3,M730,RSPd,36.7691
p3,M789,RSPd,21.4815
p3,M795,RSPd,36.6187
p3,M796,RSPd,37.6068
p12,M677,RSPd,20.4953
p12,M678,RSPd,22.0612
p12,M704,RSPd,25.5829
p12,M705,RSPd,24.0284
p12,M711,RSPd,20.2671
p12,M758,RSPd,18.3106
p20,M648,RSPd,10.9914
p20,M649,RSPd,17.4246
p20,M712,RSPd,18.2056
p20,M715,RSPd,13.5914
adult,M762,RSPd,9.0652
adult,M763,RSPd,14.0898
adult,M764,RSPd,15.9584
adult,M773,RSPd,12.1062
adult,M776,RSPd,16.5381
p3,M729,RSPagl,1.8027
p3,M730,RSPagl,22.5966
p3,M789,RSPagl,6.5185
p3,M795,RSPagl,18.8489
p3,M796,RSPagl,10.6838
p12,M677,RSPagl,14.6883
p12,M678,RSPagl,7.7295
p12,M704,RSPagl,16.3831
p12,M705,RSPagl,8.981
p12,M711,RSPagl,15.4586
p12,M758,RSPagl,15.4412
p20,M648,RSPagl,8.6207
p20,M649,RSPagl,13.9499
p20,M712,RSPagl,19.0242
p20,M715,RSPagl,5.0405
adult,M762,RSPagl,7.4444
adult,M763,RSPagl,12.8103
adult,M764,RSPagl,14.4652
adult,M773,RSPagl,10.2552
adult,M776,RSPagl,12.3089
p3,M729,VISpm,0.9488
p3,M730,VISpm,8.3251
p3,M789,VISpm,7.5556
p3,M795,VISpm,4.5324
p3,M796,VISpm,3.4188
p12,M677,VISpm,15.0299
p12,M678,VISpm,7.0853
p12,M704,VISpm,12.6654
p12,M705,VISpm,3.3649
p12,M711,VISpm,14.8531
p12,M758,VISpm,16.5352
p20,M648,VISpm,13.3621
p20,M649,VISpm,12.0593
p20,M712,VISpm,3.9293
p20,M715,VISpm,10.6211
adult,M762,VISpm,17.7912
adult,M763,VISpm,8.6577
adult,M764,VISpm,10.1579
adult,M773,VISpm,9.0711
adult,M776,VISpm,3.2392
p3,M729,VISam,0.1898
p3,M730,VISam,1.9822
p3,M789,VISam,4.0
p3,M795,VISam,6.1151
p3,M796,VISam,4.4872
p12,M677,VISam,4.526
p12,M678,VISam,15.942
p12,M704,VISam,5.041
p12,M705,VISam,10.8768
p12,M711,VISam,9.2609
p12,M758,VISam,3.4792
p20,M648,VISam,8.8362
p20,M649,VISam,7.3071
p20,M712,VISam,7.5966
p20,M715,VISam,1.7102
adult,M762,VISam,9.6683
adult,M763,VISam,6.8265
adult,M764,VISam,7.2936
adult,M773,VISam,13.6583
adult,M776,VISam,9.1061
p3,M729,VISa,1.0436
p3,M730,VISa,0.9911
p3,M789,VISa,0.2963
p3,M795,VISa,0.1439
p3,M796,VISa,1.4957
p12,M677,VISa,2.8181
p12,M678,VISa,0.7246
p12,M704,VISa,1.7643
p12,M705,VISa,0.6635
p12,M711,VISa,3.8112
p12,M758,VISa,0.8608
p20,M648,VISa,3.2328
p20,M649,VISa,7.256
p20,M712,VISa,0.2292
p20,M715,VISa,0.45
adult,M762,VISa,2.9778
adult,M763,VISa,1.3255
adult,M764,VISa,4.0488
adult,M773,VISa,2.8397
adult,M776,VISa,7.3373
p3,M729,VISrl,15.37
p3,M730,VISrl,0.2973
p3,M789,VISrl,1.037
p3,M795,VISrl,0.2158
p3,M796,VISrl,0.8547
p12,M677,VISrl,7.088
p12,M678,VISrl,4.9919
p12,M704,VISrl,3.5287
p12,M705,VISrl,3.673
p12,M711,VISrl,0.7124
p12,M758,VISrl,0.1793
p20,M648,VISrl,3.2328
p20,M649,VISrl,4.2412
p20,M712,VISrl,9.463
p20,M715,VISrl,0.18
adult,M762,VISrl,29.2688
adult,M763,VISrl,3.0953
adult,M764,VISrl,4.0704
adult,M773,VISrl,13.1295
adult,M776,VISrl,12.3817
p3,M729,VISal,14.611
p3,M730,VISal,0.6938
p3,M789,VISal,1.3333
p3,M795,VISal,1.295
p3,M796,VISal,2.1368
p12,M677,VISal,14.2613
p12,M678,VISal,7.649
p12,M704,VISal,1.5753
p12,M705,VISal,1.2796
p12,M711,VISal,3.7222
p12,M758,VISal,3.1026
p20,M648,VISal,16.8103
p20,M649,VISal,16.6071
p20,M712,VISal,14.0799
p20,M715,VISal,0.9901
adult,M762,VISal,7.2748
adult,M763,VISal,2.7199
adult,M764,VISal,2.5269
adult,M773,VISal,8.1168
adult,M776,VISal,7.2281
p3,M729,VISl,31.3093
p3,M730,VISl,5.7483
p3,M789,VISl,18.8148
p3,M795,VISl,1.9424
p3,M796,VISl,6.6239
p12,M677,VISl,3.6721
p12,M678,VISl,10.9501
p12,M704,VISl,2.1424
p12,M705,VISl,18.5782
p12,M711,VISl,7.0347
p12,M758,VISl,17.8802
p20,M648,VISl,14.6552
p20,M649,VISl,0.8687
p20,M712,VISl,3.7656
p20,M715,VISl,33.3933
adult,M762,VISl,6.8225
adult,M763,VISl,26.494
