age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,M677_062_RSPagl.tif,33074328,1146800,894400
p12,M677,RSPagl,M677_063_RSPagl.tif,69771083,1355200,1040400
p12,M677,RSPagl,M677_064_RSPagl.tif,139811314,3100800,1648400
p12,M677,RSPagl,M677_065_RSPagl.tif,78836510,1925480,1288260
p12,M677,RSPagl,M677_066_RSPagl.tif,56348349,1967420,1260980
p12,M677,RSPagl,M677_067_RSPagl.tif,36061,800,800
p12,M677,RSPagl,M677_068_RSPagl.tif,102559,4800,3200
p12,M677,RSPagl,M677_070_RSPagl.tif,29517599,1472000,1165600
p12,M677,RSPagl,M677_071_RSPagl.tif,70768175,2370000,1558800
p12,M677,RSPagl,M677_072_RSPagl.tif,53916710,2279200,1430400
p12,M677,RSPagl,M677_073_RSPagl.tif,46995884,1200000,959200
p12,M677,RSPagl,M677_074_RSPagl.tif,56412001,1888000,1291600
p12,M677,RSPagl,M677_075_RSPagl.tif,26610055,1009440,798980
p12,M677,RSPagl,M677_076_RSPagl.tif,66244294,1048800,823600
p12,M677,RSPagl,M677_077_RSPagl.tif,89754495,1716000,963200
p12,M677,RSPagl,M677_078_RSPagl.tif,22572655,1050880,704440
p12,M677,RSPagl,M677_079_RSPagl.tif,74858505,1262800,988800
p12,M677,RSPagl,M677_080_RSPagl.tif,17140197,1185600,949200
p12,M677,RSPagl,M677_081_RSPagl.tif,31055977,1152000,869200
p12,M677,RSPagl,M677_082_RSPagl.tif,33525583,976000,736400
p12,M677,RSPagl,M677_083_RSPagl.tif,27492464,1062600,855440
p12,M677,RSPagl,M677_084_RSPagl.tif,46225903,1178880,962040
p12,M677,RSPagl,M677_086_RSPagl.tif,85616240,1340000,920000
p12,M677,RSPagl,M677_087_RSPagl.tif,28741873,1100800,787600
p12,M677,RSPagl,M677_088_RSPagl.tif,812655,144400,101200
p12,M677,RSPagl,M677_090_RSPagl.tif,23398845,1561300,998040
p12,M677,RSPagl,M677_091_RSPagl.tif,16739561,1289400,874280
p12,M677,RSPagl,M677_092_RSPagl.tif,23591403,1839600,1248800
p12,M677,RSPagl,M677_093_RSPagl.tif,15890040,802400,550000
p12,M677,RSPagl,M677_094_RSPagl.tif,35607569,1268800,836800
p12,M677,RSPagl,M677_095_RSPagl.tif,9447956,1081080,600320
p12,M677,RSPagl,M677_096_RSPagl.tif,10568168,1345600,661600
p12,M677,RSPagl,M677_097_RSPagl.tif,31062236,1766400,543200
p12,M677,RSPagl,M677_098_RSPagl.tif,10499345,1687760,639400
p12,M677,RSPagl,M677_099_RSPagl.tif,25962099,1959600,792800
p12,M677,RSPagl,M677_100_RSPagl.tif,21657661,3417600,949600
p12,M677,RSPagl,M677_101_RSPagl.tif,35160519,6079920,1336480
p12,M677,RSPd,M677_062_RSPd.tif,52614137,2481600,1284000
p12,M677,RSPd,M677_063_RSPd.tif,139247456,3035520,1597200
p12,M677,RSPd,M677_064_RSPd.tif,138829319,4798180,1609400
p12,M677,RSPd,M677_065_RSPd.tif,107971245,3371160,1619420
p12,M677,RSPd,M677_066_RSPd.tif,80824639,2950220,1736660
p12,M677,RSPd,M677_068_RSPd.tif,72680600,2736000,1414400
p12,M677,RSPd,M677_070_RSPd.tif,55677883,3104000,1964000
