age,identifier,region,image_count,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,37,1445826871,57038160,33033460
p12,M677,RSPd,37,2974838582,115913320,60961260
p12,M677,RSPv,37,3427825434,145705079,82259460
p12,M677,VISa,11,1132629964,35233580,19540620
p12,M677,VISal,10,501001533,28460899,14718580
p12,M677,VISam,12,532858772,17330060,10934220
p12,M677,VISl,8,195097501,16635700,7169840
p12,M677,VISli,8,164042500,16361120,5926880
p12,M677,VISp,20,4540595400,165148283,103403351
p12,M677,VISpm,15,311355714,18090920,11487820
p12,M677,VISpor,2,22453092,2422660,993500
p12,M677,VISrl,13,499234658,21819721,9554361
p12,M678,RSPagl,27,869697545,51970880,27145860
p12,M678,RSPd,27,1918233460,103672619,49593180
p12,M678,RSPv,27,2401197056,156054351,87434815
p12,M678,VISa,7,313571120,20441120,13783940
p12,M678,VISal,9,372550027,22978580,10914800
p12,M678,VISam,14,465481377,26265760,18092460
p12,M678,VISl,8,151884810,14764583,5374841
p12,M678,VISli,10,149952328,16707320,5751080
p12,M678,VISp,21,3199188746,218178219,116680341
p12,M678,VISpm,20,669122977,33170360,19818500
p12,M678,VISpor,3,32313538,4347880,1927020
p12,M678,VISrl,12,548471270,36131239,18460160
p12,M704,RSPagl,40,1094535883,63428780,37100280
p12,M704,RSPd,40,2133088377,128984620,63446900
p12,M704,RSPv,40,2273135496,157638820,81893900
p12,M704,VISa,14,1075467206,56452660,33207400
p12,M704,VISal,11,194884504,29147481,14946321
p12,M704,VISam,12,166477100,13899740,6771640
p12,M704,VISl,12,147075583,23176960,9286880
p12,M704,VISli,13,142017425,19810860,6980180
p12,M704,VISp,20,1677567213,178067900,90808020
p12,M704,VISpm,21,351968963,35712980,20631420
p12,M704,VISpor,6,101179179,10319900,5984520
p12,M704,VISrl,14,204450191,26380580,10978040
p12,M705,RSPagl,47,767458375,69126300,33412880
p12,M705,RSPd,47,1571708770,135932080,59141180
p12,M705,RSPv,46,1843415475,158983580,77604600
p12,M705,VISa,16,896811867,51184900,28086940
p12,M705,VISal,12,203379946,22809060,11697560
p12,M705,VISam,18,482679680,33929520,19792260
p12,M705,VISl,18,372231291,44828080,23279080
p12,M705,VISli,17,159930177,23953320,10841620
p12,M705,VISp,28,1876080017,236799160,112747460
p12,M705,VISpm,25,291284328,31052740,16756080
p12,M705,VISpor,7,75193081,10934720,5023400
p12,M705,VISrl,20,459228434,47236060,20195980
p12,M711,RSPagl,36,651983823,56080656,25904899
p12,M711,RSPd,36,1294608233,99185444,46735499
p12,M711,RSPv,30,1567181334,117464238,65122619
p12,M711,VISa,7,128452305,12891420,6591640
p12,M711,VISal,10,338429077,35123860,16356640
p12,M711,VISam,7,142320366,11131180,6988158
p12,M711,VISl,20,451156119,42008959,19641059
p12,M711,VISli,13,148889063,17791180,6885540
p12,M711,VISp,29,2256679408,172425750,92952116
p12,M711,VISpl,6,169125164,12222694,4853998
p12,M711,VISpm,18,321717738,25928560,14315980
p12,M711,VISpor,9,328923107,22108078,12006298
p12,M711,VISrl,9,173207263,22961100,9521820
p12,M758,RSPagl,54,1154245158,125749021,44955200
p12,M758,RSPd,55,1924400795,199297303,78808901
p12,M758,RSPv,46,1909002652,191453462,87584261
p12,M758,VISa,11,558854810,33351480,18418440
p12,M758,VISal,8,192461095,21471320,9830740
p12,M758,VISam,8,119282426,8971960,6264920
p12,M758,VISl,29,753405439,75412060,39277280
p12,M758,VISli,23,333168406,41270682,18333800
p12,M758,VISp,41,3984304673,375875288,192186546
p12,M758,VISpl,9,510683383,34169262,11722299
p12,M758,VISpm,32,507259421,37302080,24424580
p12,M758,VISpor,23,581753611,49060098,25211060
p12,M758,VISrl,9,134883945,29904962,7225061
p20,M648,RSPagl,26,917827499,43012200,28990000
p20,M648,RSPd,26,1894755040,87172140,51547740
p20,M648,RSPv,26,1877771268,106362535,62817816
p20,M648,VISa,19,1628437547,92240679,51068259
p20,M648,VISal,9,342109731,26546739,13656739
p20,M648,VISam,17,671053456,32306660,18861740
p20,M648,VISl,1,8440800,637840,310460
p20,M648,VISp,7,1433958484,69611460,40349240
p20,M648,VISpm,5,105924479,9242820,4797600
p20,M648,VISrl,18,525334714,38880598,15338420
p20,M649,RSPagl,34,2587286452,46618780,30743380
p20,M649,RSPd,34,5034112850,101770020,57528620
p20,M649,RSPv,34,6039133758,128190436,77124938
p20,M649,VISa,12,2659970763,50761339,29609740
p20,M649,VISal,14,1266339040,33418260,16116779
p20,M649,VISam,20,1255136033,26345540,15061280
p20,M649,VISl,2,135706843,6142420,2202960
p20,M649,VISli,2,128351518,5755679,2827440
p20,M649,VISp,17,6956479222,146606440,88058200
p20,M649,VISpm,12,896210671,18948540,11266520
p20,M649,VISrl,22,1024644522,36595279,11152640
p20,M712,RSPagl,38,667802542,57390980,32723040
p20,M712,RSPd,38,1342087483,111055440,56931700
p20,M712,RSPv,38,1546137486,149484117,84338399
p20,M712,VISa,12,200969591,21092840,11287080
p20,M712,VISal,11,155049879,24494160,11505820
p20,M712,VISam,14,237936599,29220460,18567040
p20,M712,VISl,8,176162242,21785820,10399300
p20,M712,VISli,7,78473459,10981720,4825100
p20,M712,VISp,23,1629561381,209503579,111022039
p20,M712,VISpm,19,105830240,18365340,7647520
p20,M712,VISpor,3,70321966,9837540,4702840
p20,M712,VISrl,15,225570850,39306277,17586558
p3,M729,RSPagl,32,1165301490,61763219,22999032
p3,M729,RSPd,32,2140669785,84949614,41103454
p3,M729,RSPv,26,1671901468,70589050,39718151
p3,M729,VISa,8,831433945,26740050,15251940
p3,M729,VISal,9,241947754,14024120,7073160
p3,M729,VISam,9,240477076,12222810,6922990
p3,M729,VISl,15,517725879,22779543,11186761
p3,M729,VISli,13,182466563,11008780,4714180
