age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,M608_s001_RSPagl.tif,25903350,8436667.628097927,1341600,984400
adult,M608,RSPagl,M608_s002_RSPagl.tif,17761884,5771761.102227773,1376000,980000
adult,M608,RSPagl,M608_s003_RSPagl.tif,6982997,2252984.248019496,1201200,949600
adult,M608,RSPagl,M608_s004_RSPagl.tif,9194723,2912459.911379262,1176000,922800
adult,M608,RSPagl,M608_s005_RSPagl.tif,15292821,4820865.424376994,1265220,939120
adult,M608,RSPagl,M608_s006_RSPagl.tif,8442678,2681748.4093739484,1168000,864800
adult,M608,RSPagl,M608_s007_RSPagl.tif,4895284,1553448.1965653703,1198800,910800
adult,M608,RSPagl,M608_s008_RSPagl.tif,13527738,4156741.3514873283,1358800,1006400
adult,M608,RSPagl,M608_s009_RSPagl.tif,7810862,2487432.3554367614,1377600,996800
adult,M608,RSPagl,M608_s010_RSPagl.tif,7428914,2335347.637547227,1231200,914400
adult,M608,RSPagl,M608_s011_RSPagl.tif,6493476,2058240.0947988355,1387540,1042640
adult,M608,RSPagl,M608_s017_RSPagl.tif,4630594,1430411.9358104265,1280840,936380
adult,M608,RSPagl,M608_s031_RSPagl.tif,2325049,718602.4159987108,1209600,937200
adult,M608,RSPd,M608_s001_RSPd.tif,39497074,13811819.045005595,2396040,1473860
adult,M608,RSPd,M608_s002_RSPd.tif,27520989,9187979.975363953,2592780,1570460
adult,M608,RSPd,M608_s003_RSPd.tif,11946448,4041317.291240375,2465540,1472680
adult,M608,RSPd,M608_s004_RSPd.tif,16044267,5323774.022075303,2551700,1485800
adult,M608,RSPd,M608_s005_RSPd.tif,26422297,8699767.431442052,2433200,1511600
adult,M608,RSPd,M608_s006_RSPd.tif,13604384,4530913.797644782,2159820,1377200
adult,M608,RSPd,M608_s008_RSPd.tif,21584979,7073304.488639629,2721600,1507600
adult,M608,RSPd,M608_s010_RSPd.tif,13551019,4344319.529611675,2625640,1557140
adult,M608,RSPd,M608_s011_RSPd.tif,12090751,4025065.952602806,2881600,1720340
adult,M608,RSPd,M608_s012_RSPd.tif,5993675,1998308.9079660608,2755620,1673860
adult,M608,RSPv,M608_s001_RSPv.tif,28715547,9739638.251830876,2280180,1371480
adult,M608,RSPv,M608_s002_RSPv.tif,20252045,6859876.640572009,2422580,1445240
adult,M608,RSPv,M608_s003_RSPv.tif,12861349,4407565.868666047,2436000,1391200
adult,M608,RSPv,M608_s004_RSPv.tif,13353842,4547502.338377456,2419860,1336200
adult,M608,RSPv,M608_s008_RSPv.tif,15186633,5180402.689731636,2671780,1509520
adult,M608,RSPv,M608_s009_RSPv.tif,15054979,4789542.572843612,2557800,1506400
adult,M608,RSPv,M608_s011_RSPv.tif,9979791,3241226.9235505206,2920320,1639180
adult,M608,RSPv,M608_s017_RSPv.tif,10035453,3287363.713485856,2511600,1435600
adult,M608,VISam,M608_s016_VISam.tif,2123920,713885.3988843207,904800,462000
adult,M608,VISam,M608_s018_VISam.tif,2968462,982545.5799398973,1180800,775600
adult,M608,VISam,M608_s019_VISam.tif,2634945,858720.5621894606,1314000,919200
adult,M608,VISl,M608_s049_VISl.tif,6249141,2003088.8474086833,2971500,1460140
adult,M608,VISl,M608_s050_VISl.tif,5221327,1673729.8457743875,3150440,1519300
adult,M608,VISl,M608_s051_VISl.tif,7271447,2347733.9323804206,4115020,1940320
adult,M608,VISl,M608_s052_VISl.tif,11608494,3684571.616446399,3577380,1803320
adult,M608,VISl,M608_s054_VISl.tif,20256852,6519997.611406207,3508800,1777200
adult,M608,VISl,M608_s056_VISl.tif,20366849,6407305.306375882,2857140,1708760
adult,M608,VISl,M608_s057_VISl.tif,16379646,5209940.138874191,2789640,1355040
adult,M608,VISl,M608_s058_VISl.tif,213393867,72170549.8904204,4100880,2117680
adult,M608,VISl,M608_s059_VISl.tif,92629145,29938967.51076108,2650300,1339180
adult,M608,VISl,M608_s060_VISl.tif,30521668,9314750.324124295,3052260,1420820
adult,M608,VISl,M608_s061_VISl.tif,38216481,12200259.434388611,3126480,1502880
