age,identifier,region,image_filename,raw_intensity_sum,masked_gauss_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,M608_s001_RSPagl.tif,25903350,649959.4206577284,1341600,984400
adult,M608,RSPagl,M608_s002_RSPagl.tif,17761884,485090.2475829145,1376000,980000
adult,M608,RSPagl,M608_s003_RSPagl.tif,6982997,247148.84749492153,1201200,949600
adult,M608,RSPagl,M608_s004_RSPagl.tif,9194723,270415.8822763202,1176000,922800
adult,M608,RSPagl,M608_s005_RSPagl.tif,15292821,400233.2711064995,1265220,939120
adult,M608,RSPagl,M608_s006_RSPagl.tif,8442678,248833.3744093243,1168000,864800
adult,M608,RSPagl,M608_s007_RSPagl.tif,4895284,162857.96051485272,1198800,910800
adult,M608,RSPagl,M608_s008_RSPagl.tif,13527738,427300.057347404,1358800,1006400
adult,M608,RSPagl,M608_s009_RSPagl.tif,7810862,456459.193243209,1377600,996800
adult,M608,RSPagl,M608_s010_RSPagl.tif,7428914,278261.59337003826,1231200,914400
adult,M608,RSPagl,M608_s011_RSPagl.tif,6493476,236741.00735386068,1387540,1042640
adult,M608,RSPagl,M608_s017_RSPagl.tif,4630594,219593.76334552892,1280840,936380
adult,M608,RSPagl,M608_s031_RSPagl.tif,2325049,114643.92877337227,1209600,937200
adult,M608,RSPd,M608_s001_RSPd.tif,39497074,886214.3048062045,2396040,1473860
adult,M608,RSPd,M608_s002_RSPd.tif,27520989,877164.7094691247,2592780,1570460
adult,M608,RSPd,M608_s003_RSPd.tif,11946448,372229.7258901084,2465540,1472680
adult,M608,RSPd,M608_s004_RSPd.tif,16044267,434319.693737683,2551700,1485800
adult,M608,RSPd,M608_s005_RSPd.tif,26422297,800255.5288697482,2433200,1511600
adult,M608,RSPd,M608_s006_RSPd.tif,13604384,456394.1653471555,2159820,1377200
adult,M608,RSPd,M608_s008_RSPd.tif,21584979,566603.6925341634,2721600,1507600
adult,M608,RSPd,M608_s010_RSPd.tif,13551019,442549.9875898262,2625640,1557140
adult,M608,RSPd,M608_s011_RSPd.tif,12090751,373858.1924057698,2881600,1720340
adult,M608,RSPd,M608_s012_RSPd.tif,5993675,234512.59569519796,2755620,1673860
adult,M608,RSPv,M608_s001_RSPv.tif,28715547,778789.7436607109,2280180,1371480
adult,M608,RSPv,M608_s002_RSPv.tif,20252045,512314.0295480007,2422580,1445240
adult,M608,RSPv,M608_s003_RSPv.tif,12861349,372803.653341832,2436000,1391200
