age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,M608_s001_RSPagl.tif,25903350,632018.9164309797,1341600,984400
adult,M608,RSPagl,M608_s002_RSPagl.tif,17761884,466921.95056681667,1376000,980000
adult,M608,RSPagl,M608_s003_RSPagl.tif,6982997,241854.1208413523,1201200,949600
adult,M608,RSPagl,M608_s004_RSPagl.tif,9194723,260552.94394766202,1176000,922800
adult,M608,RSPagl,M608_s005_RSPagl.tif,15292821,387943.64568880957,1265220,939120
adult,M608,RSPagl,M608_s006_RSPagl.tif,8442678,235527.9724398532,1168000,864800
adult,M608,RSPagl,M608_s007_RSPagl.tif,4895284,158094.8171129919,1198800,910800
adult,M608,RSPagl,M608_s008_RSPagl.tif,13527738,373711.6924129672,1358800,1006400
adult,M608,RSPagl,M608_s009_RSPagl.tif,7810862,417620.9219889735,1377600,996800
adult,M608,RSPagl,M608_s010_RSPagl.tif,7428914,251113.29349655609,1231200,914400
adult,M608,RSPagl,M608_s011_RSPagl.tif,6493476,219493.43026551857,1387540,1042640
adult,M608,RSPagl,M608_s017_RSPagl.tif,4630594,200465.68121304025,1280840,936380
adult,M608,RSPagl,M608_s031_RSPagl.tif,2325049,97610.56051231276,1209600,937200
adult,M608,RSPd,M608_s001_RSPd.tif,39497074,840705.270003039,2396040,1473860
adult,M608,RSPd,M608_s002_RSPd.tif,27520989,786691.9136841238,2592780,1570460
adult,M608,RSPd,M608_s003_RSPd.tif,11946448,359255.53000158985,2465540,1472680
adult,M608,RSPd,M608_s004_RSPd.tif,16044267,416544.74526199454,2551700,1485800
adult,M608,RSPd,M608_s005_RSPd.tif,26422297,735310.6454626577,2433200,1511600
adult,M608,RSPd,M608_s006_RSPd.tif,13604384,415060.31575374544,2159820,1377200
adult,M608,RSPd,M608_s008_RSPd.tif,21584979,537268.2824142801,2721600,1507600
adult,M608,RSPd,M608_s010_RSPd.tif,13551019,394518.218057234,2625640,1557140
adult,M608,RSPd,M608_s011_RSPd.tif,12090751,354166.50783987367,2881600,1720340
adult,M608,RSPd,M608_s012_RSPd.tif,5993675,220311.7501378264,2755620,1673860
adult,M608,RSPv,M608_s001_RSPv.tif,28715547,742876.0371413467,2280180,1371480
adult,M608,RSPv,M608_s002_RSPv.tif,20252045,500153.32927737356,2422580,1445240
adult,M608,RSPv,M608_s003_RSPv.tif,12861349,362746.80785365356,2436000,1391200
adult,M608,RSPv,M608_s004_RSPv.tif,13353842,360406.9618717817,2419860,1336200
adult,M608,RSPv,M608_s008_RSPv.tif,15186633,431706.9662936894,2671780,1509520
adult,M608,RSPv,M608_s009_RSPv.tif,15054979,457089.2687893953,2557800,1506400
adult,M608,RSPv,M608_s011_RSPv.tif,9979791,387560.3429321498,2920320,1639180
