age,identifier,region,image_count,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,13,130690370,3942929.9469178333,16572400,12385340
adult,M608,RSPd,10,188255883,5059833.1786163645,25583540,15350540
adult,M608,RSPv,8,125439639,3595050.0914454027,20220120,11634820
adult,M608,VISam,3,7727327,336714.24133470806,3399600,2156800
adult,M608,VISl,21,733132915,17030898.77440021,52879160,27091420
adult,M608,VISli,10,271193742,5974430.795585216,18656280,8386220
adult,M608,VISp,46,4858085061,212622998.04722223,394647849,204612103
adult,M608,VISpl,9,170686753,3766310.195826693,9010301,3781901
adult,M608,VISpm,39,181800513,9502722.625803506,28450640,18497380
adult,M608,VISpor,24,1471556982,33513719.737883136,88425972,45679561
adult,M608,VISrl,22,406860870,47280026.04523486,58282840,32161540
adult,M609,RSPagl,3,97588426,2476498.5573740383,7752400,2173840
adult,M609,RSPd,1,26981999,863836.838986971,3806400,1162800
adult,M609,VISa,3,175368817,3570847.33589615,10876040,8226800
adult,M609,VISal,3,31280236,1007605.6593143765,11288180,5844206
adult,M609,VISam,6,128507576,2938560.956841684,12015040,7718740
adult,M609,VISl,21,602805514,14905417.831075443,61853060,30938116
adult,M609,VISli,9,243520232,6232254.95145548,11982640,5154140
adult,M609,VISp,50,8472310881,325915337.62321633,508857504,263317521
adult,M609,VISpm,5,28087813,937577.9931234964,8331960,4718723
adult,M609,VISrl,2,30166334,701739.099047217,4210700,1768720
adult,M610,RSPagl,19,252869825,5693797.968969717,25603440,18197300
adult,M610,RSPd,19,455599456,10183349.432303172,52133740,31193680
adult,M610,RSPv,6,115036036,3203301.9495873405,15869560,9553660
adult,M610,VISa,15,538836990,12866995.961371712,60185660,35081680
adult,M610,VISal,6,20576782,688614.6941879373,12216820,5483024
adult,M610,VISam,6,74566793,2166275.4842237066,10103300,6643600
adult,M610,VISl,18,507656302,12274501.772326464,49559820,23915772
adult,M610,VISli,14,311996446,7374082.166154611,23371480,9894403
adult,M610,VISp,44,8166990815,263666718.1861594,455235120,220607682
adult,M610,VISpl,3,27696337,531740.6962085031,932380,307740
adult,M610,VISpor,9,800037026,18014963.06631207,24182780,10819200
p12,M677,RSPagl,17,147924394,3765596.742195115,21845400,14941920
p12,M677,RSPd,8,85882773,2307025.948898997,22527420,13165820
p12,M677,RSPv,4,120788399,3087805.1869057743,24710880,14441760
p12,M677,VISa,3,34386161,763792.5341781361,8331420,4891500
p12,M677,VISal,9,95675536,3034821.3579274546,27582499,14316180
p12,M677,VISam,8,60186737,1661237.6084129352,11896760,7740300
p12,M677,VISl,5,31896234,754430.3369622715,11323780,5516640
p12,M677,VISli,6,17207325,398316.9868787799,11958220,4317160
p12,M677,VISp,20,741427026,33368377.97798977,165148283,103403351
p12,M677,VISpm,4,30225236,999391.6901420089,7096920,5196920
p12,M677,VISrl,8,60943446,1737506.7990117217,16428801,7215621
p12,M678,RSPagl,4,26233791,744732.4925158172,6629200,4090800
p12,M678,RSPd,5,75951846,2060728.1636390514,17734960,9619840
p12,M678,RSPv,2,69151586,2019006.0935290924,15091518,10320998
p12,M678,VISa,3,54380786,1500605.242940906,11197320,7678480
p12,M678,VISal,7,66761564,1889563.4876955212,19957460,9468120
p12,M678,VISam,8,111923147,2801447.3629872953,21005520,15094380
p12,M678,VISl,6,14241362,636781.4846291108,14552983,5334039
p12,M678,VISli,10,13728753,455876.9019885746,16707320,5751080
p12,M678,VISp,21,525733368,30350789.23056073,218178219,116680247
p12,M678,VISpm,7,60592760,1572719.0007289918,12920640,7768800
p12,M678,VISpor,3,3776135,64693.57908562527,4347880,1927020
p12,M678,VISrl,8,106392893,2880274.230831727,28093039,14900680
p12,M704,RSPagl,12,55294134,1691485.6411498685,16193080,10662112
p12,M704,RSPd,18,203746626,6125231.223915704,52179260,30505873
p12,M704,RSPv,6,110529883,3346943.225223082,29335880,17090640
p12,M704,VISa,9,258474544,7106729.720880905,48565860,29241200
p12,M704,VISal,10,72897696,2803893.879046913,34662421,17655321
p12,M704,VISam,4,32596446,955668.3567572883,7474000,4554720
p12,M704,VISl,6,18351006,1302441.3625854857,18590300,8898692
p12,M704,VISli,7,10265298,462567.84866165003,13175480,5427246
p12,M704,VISp,24,471691209,55854823.09601692,203088600,104865107
p12,M704,VISpm,10,89566100,3413404.2187048835,30164240,18676540
p12,M704,VISpor,4,11448100,583881.0480404923,10129500,5972920
p12,M704,VISrl,10,66631714,2595735.913671979,26138740,11723560
p12,M705,RSPagl,22,122128732,3114172.205903083,26174660,15204220
p12,M705,RSPd,18,145536162,3857686.7002494717,52897640,23405625
p12,M705,RSPv,7,109619798,3249867.617195568,30115920,16361140
p12,M705,VISa,10,218106506,5299430.794043979,34397100,19008780
p12,M705,VISal,7,76293427,2082297.7927119283,18932600,9851360
p12,M705,VISam,7,79465593,2470467.7256752434,16296440,10183880
p12,M705,VISl,16,69653303,2210911.628260673,38590160,20084318
p12,M705,VISli,5,5960358,225505.66227152228,7318920,3423673
p12,M705,VISp,28,671765401,47277174.03631171,236799160,112690428
p12,M705,VISpm,11,60764526,1658536.493667302,16127440,8907180
p12,M705,VISpor,3,4446056,53087.512685936,5514460,2222180
p12,M705,VISrl,10,132281232,4002942.383916087,30032280,14880060
p20,M648,RSPagl,13,193824721,4580062.647927049,20087720,12075480
p20,M648,RSPd,4,175096338,3855082.8159791054,15292880,8227080
p20,M648,VISa,10,729697877,15715555.629938558,49001140,28677180
p20,M648,VISal,8,234923265,5177589.277721323,26315739,13869079
p20,M648,VISam,11,334256795,7499176.6979813995,21734320,12956200
p20,M648,VISl,1,11554878,326316.6649098404,3498680,1835160
p20,M648,VISli,2,4419160,139476.28465844327,2251140,964680
p20,M648,VISp,24,3208127156,81320965.027474,295133648,149997273
p20,M648,VISpm,8,109910823,2621297.1179792066,9873480,5555800
p20,M648,VISrl,3,106234760,2365747.54846033,8503400,4233460
p20,M649,RSPagl,17,208210419,5029359.2739103185,25355780,14499540
p20,M649,RSPd,11,270327808,6485859.009437207,31560400,17681980
p20,M649,RSPv,1,49881660,1172234.3527763817,5579239,3211939
p20,M649,VISa,3,118927462,3078588.151725462,15336280,9005420
p20,M649,VISal,9,229490388,5448606.514249284,30142559,14774179
p20,M649,VISam,8,199905101,4428967.607340701,16573060,9956980
p20,M649,VISl,3,25728483,704148.485388115,8968820,4437960
p20,M649,VISli,3,11564401,419839.56834513,5951401,2352360
p20,M649,VISp,27,2095539221,88766410.3644443,269942519,155180922
p20,M649,VISpm,7,159527622,3804791.1486887266,15479520,9759180
p20,M649,VISpor,1,3051354,90172.8737505619,1461600,675200
p20,M649,VISrl,2,29024631,652874.0753923986,4835220,1364040
p20,M712,RSPagl,3,16129999,562124.7911242049,4145500,2948219
p20,M712,RSPd,4,41663969,1492319.8405675765,11272727,6666252
p20,M712,VISa,1,5213717,91726.10071133084,1854160,874180
p20,M712,VISal,2,16121535,457619.27700374625,5142509,2516305
p20,M712,VISam,5,39822433,1289836.8297321012,12099332,7997898
p20,M712,VISp,8,110582954,4083153.3669323176,35626797,20810137
p20,M712,VISrl,2,18478645,543869.5920657782,6118572,3040962
p20,M715,RSPagl,20,287781156,6834898.743188279,26380660,17426300
p20,M715,RSPd,14,263691534,6273607.280921696,38824300,21419140
p20,M715,RSPv,7,193662002,4686199.170307316,34663160,19386820
p20,M715,VISa,6,301541075,6868684.755500908,28585820,16325140
p20,M715,VISal,5,91904648,2225221.1198368855,17053920,9132420
p20,M715,VISam,7,111068649,2576385.294895324,13276220,8397580
p20,M715,VISl,9,56584100,1609428.350188345,26180879,12539339
p20,M715,VISli,5,19381281,396082.41720716923,9459340,3941480
p20,M715,VISp,24,694858964,28899816.18527582,229684618,113868912
p20,M715,VISpm,11,102977232,2612826.7820142345,18364360,11127860
p20,M715,VISpor,1,1500050,4789.451871099611,1918400,749860
p20,M715,VISrl,6,73529676,1849208.6702462756,14723960,6485680
p3,M487,RSPagl,4,36474126,837420.145838739,4538800,3376800
p3,M487,RSPd,4,66063415,1484419.6577425324,9675360,5484600
p3,M487,RSPv,2,57341096,1357390.6875895476,8098900,5562280
p3,M487,VISa,2,98103156,2009348.5417781956,10619440,7045720
p3,M487,VISal,1,17346264,414992.44724700495,3755180,2069920
p3,M487,VISam,2,6333806,204680.17666608415,1744800,1065200
p3,M487,VISl,1,18801167,525430.2690974909,2760000,1170800
p3,M487,VISp,5,234524351,16605956.427511793,40682596,20288818
p3,M487,VISpm,4,50585200,1461213.1997890596,7892360,5577720
p3,M487,VISrl,2,6640672,153021.40278980453,1934000,646800
p3,M488,RSPagl,12,54590905,1519784.641513126,16162940,7246160
p3,M488,RSPd,9,79698488,2085701.4331371963,22678120,12160520
p3,M488,RSPv,1,26215443,555474.0056879849,2468100,1464100
p3,M488,VISa,1,6500010,288976.4798853495,3170860,1400320
p3,M488,VISal,1,3384940,90462.96663387513,2488500,1180860
p3,M488,VISam,2,25901002,746749.0479441823,4392800,3547200
p3,M488,VISl,1,6755737,208863.276781498,1996800,1033200
p3,M488,VISli,1,1689010,141180.93648483875,1479720,652020
p3,M488,VISp,10,288021009,23394602.68205696,69347540,37279940
p3,M488,VISpm,5,42678890,1635311.718094911,9635860,7086120
p3,M488,VISrl,1,16281501,362036.8340741787,2032800,1098000
p3,M496,RSPagl,10,103396469,1999217.7799074105,22468740,7027460
p3,M496,RSPd,12,306210910,5707217.816776094,30170840,15686399
p3,M496,RSPv,4,141969025,2666143.3559724246,22069200,9318200
p3,M496,VISal,1,23373605,412042.60631273116,2650520,1282560
p3,M496,VISam,5,121379468,2404642.1567973266,11600100,7849820
p3,M496,VISl,2,14784052,358247.0134742492,4542400,2295600
p3,M496,VISp,20,2562300939,55271268.91869128,229298207,95704923
p3,M496,VISpm,6,119570222,2527333.6946183606,13340800,7694800
p3,M496,VISpor,1,14341704,307368.65768877394,3793200,2384000
p3,M496,VISrl,1,3161495,64078.62181265645,1268800,368000
p3,M729,RSPagl,11,56346845,1544760.4372574063,15690500,8999660
p3,M729,RSPd,4,20953442,474926.5964195975,9849960,4789780
p3,M729,RSPv,5,43414466,1191418.8771490478,16967780,9381200
p3,M729,VISa,4,79117379,2248611.204036338,13564000,7773720
p3,M729,VISal,1,839963,69219.76666403882,1408000,613528
p3,M729,VISam,6,43522748,1187904.283728299,12052160,7282400
p3,M729,VISl,4,12249138,386609.65120591875,5399540,2488100
p3,M729,VISli,1,765619,29417.04422604162,695600,273200
p3,M729,VISp,22,396386619,42792434.00653424,141210647,62483107
p3,M729,VISpm,7,9149380,300595.67011025565,8069720,4651934
p3,M729,VISpor,1,3267234,134397.09390442504,1771200,836000
p3,M730,RSPagl,15,106570444,2617208.2391862953,15587020,9189240
p3,M730,RSPd,14,124903766,3378006.720856693,34547280,16897780
p3,M730,RSPv,2,40246752,1074280.5487936006,6370260,3754040
p3,M730,VISa,4,49266741,1337268.2652616657,9387860,5516640
p3,M730,VISal,3,15240731,422507.52945215325,3501420,1883840
p3,M730,VISam,4,19501794,556609.9568159875,4365920,3264740
p3,M730,VISl,3,13913411,473505.297693601,4878320,2648780
p3,M730,VISli,1,3615708,107191.21495888267,919240,435820
p3,M730,VISp,26,568141194,44676461.51556766,194102179,82920016
p3,M730,VISpm,14,64073686,1957705.7458136815,17278600,11131480
p3,M730,VISrl,2,8529851,284161.7653422931,3066820,1788480
p6,M733,RSPagl,41,385440972,6385854.855142417,60587103,27597000
p6,M733,RSPd,41,669617789,11417538.209939271,101319541,48410021
p6,M733,RSPv,37,809690317,14363555.488779759,104093460,59091240
p6,M733,VISa,11,144276666,2326510.500109667,19963840,11114100
p6,M733,VISal,9,84008362,1757916.6099442777,16003300,7860300
p6,M733,VISam,7,72932559,1227579.4081492356,11110160,6158260
p6,M733,VISl,17,157624607,3981015.185131376,29730272,14841177
p6,M733,VISli,17,72162395,1610321.4764966192,17736017,7200038
p6,M733,VISp,29,972545256,60724597.17613806,161052174,79761339
p6,M733,VISpl,2,9902896,173856.02925961977,2063980,619500
p6,M733,VISpm,23,179263525,3255849.4558758037,23736860,16397720
p6,M733,VISpor,7,106445478,2113191.413156241,10351741,5724441
p6,M733,VISrl,13,128843929,2536883.679653288,22942120,11338080
p6,M734,RSPagl,43,296279305,7811494.7321991455,64921700,30112900
p6,M734,RSPd,44,566947297,15411427.742329624,128099520,56423720
p6,M734,RSPv,41,645519817,15752307.82408182,146143460,75129900
p6,M734,VISa,15,166889634,3849774.99363076,98623480,18367480
p6,M734,VISal,7,74075970,2704047.8678454226,17765860,9362300
p6,M734,VISam,11,113409294,2498571.90327161,13643480,8694260
p6,M734,VISl,10,69051271,4035960.5456566154,18298120,7653780
p6,M734,VISli,9,37383692,1305605.673219646,11463000,4434260
p6,M734,VISp,26,1941054710,152071526.85802364,266863747,104990942
p6,M734,VISpl,1,28921,3237.571447943911,6000,2800
p6,M734,VISpm,23,162117051,6750510.975459869,27916740,18440800
p6,M734,VISpor,9,46889732,1129905.8113882383,9186291,4484000
p6,M734,VISrl,9,45125539,1345731.0325355919,11688960,5011080
