age,identifier,region,image_filename,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,M608_s001_RSPagl.tif,25903350,665058.0,1341600,984400
adult,M608,RSPagl,M608_s002_RSPagl.tif,17761884,491569.0,1376000,980000
adult,M608,RSPagl,M608_s003_RSPagl.tif,6982997,284069.0,1201200,949600
adult,M608,RSPagl,M608_s004_RSPagl.tif,9194723,239402.0,1176000,922800
adult,M608,RSPagl,M608_s005_RSPagl.tif,15292821,374325.0,1265220,939120
adult,M608,RSPagl,M608_s006_RSPagl.tif,8442678,194337.0,1168000,864800
adult,M608,RSPagl,M608_s007_RSPagl.tif,4895284,139430.0,1198800,910800
adult,M608,RSPagl,M608_s008_RSPagl.tif,13527738,342939.0,1358800,1006400
adult,M608,RSPagl,M608_s009_RSPagl.tif,7810862,445506.0,1377600,996800
adult,M608,RSPagl,M608_s010_RSPagl.tif,7428914,191127.0,1231200,914400
adult,M608,RSPagl,M608_s011_RSPagl.tif,6493476,171044.0,1387540,1042640
adult,M608,RSPagl,M608_s017_RSPagl.tif,4630594,113649.0,1280840,936380
adult,M608,RSPagl,M608_s031_RSPagl.tif,2325049,83323.0,1209600,937200
adult,M608,RSPd,M608_s001_RSPd.tif,39497074,850779.0,2396040,1473860
adult,M608,RSPd,M608_s002_RSPd.tif,27520989,762668.0,2592780,1570460
adult,M608,RSPd,M608_s003_RSPd.tif,11946448,368398.0,2465540,1472680
adult,M608,RSPd,M608_s004_RSPd.tif,16044267,383698.0,2551700,1485800
adult,M608,RSPd,M608_s005_RSPd.tif,26422297,652125.0,2433200,1511600
adult,M608,RSPd,M608_s006_RSPd.tif,13604384,345495.0,2159820,1377200
adult,M608,RSPd,M608_s008_RSPd.tif,21584979,508879.0,2721600,1507600
adult,M608,RSPd,M608_s010_RSPd.tif,13551019,307197.0,2625640,1557140
adult,M608,RSPd,M608_s011_RSPd.tif,12090751,291543.0,2881600,1720340
adult,M608,RSPd,M608_s012_RSPd.tif,5993675,153914.0,2755620,1673860
adult,M608,RSPv,M608_s001_RSPv.tif,28715547,665786.0,2280180,1371480
adult,M608,RSPv,M608_s002_RSPv.tif,20252045,493000.0,2422580,1445240
adult,M608,RSPv,M608_s003_RSPv.tif,12861349,334033.0,2436000,1391200
adult,M608,RSPv,M608_s004_RSPv.tif,13353842,309754.0,2419860,1336200
adult,M608,RSPv,M608_s008_RSPv.tif,15186633,398442.0,2671780,1509520
adult,M608,RSPv,M608_s009_RSPv.tif,15054979,339232.0,2557800,1506400
adult,M608,RSPv,M608_s011_RSPv.tif,9979791,308828.0,2920320,1639180
adult,M608,RSPv,M608_s017_RSPv.tif,10035453,253721.0,2511600,1435600
adult,M608,VISam,M608_s016_VISam.tif,2123920,62895.0,904800,462000
adult,M608,VISam,M608_s018_VISam.tif,2968462,65831.0,1180800,775600
adult,M608,VISam,M608_s019_VISam.tif,2634945,112496.0,1314000,919200
adult,M608,VISl,M608_s049_VISl.tif,6249141,131858.0,2971500,1460140
adult,M608,VISl,M608_s050_VISl.tif,5221327,137398.0,3150440,1519300
adult,M608,VISl,M608_s051_VISl.tif,7271447,170961.0,4115020,1940320
adult,M608,VISl,M608_s052_VISl.tif,11608494,226943.0,3577380,1803320
adult,M608,VISl,M608_s054_VISl.tif,20256852,468539.0,3508800,1777200
adult,M608,VISl,M608_s056_VISl.tif,20366849,497652.0,2857140,1708760
adult,M608,VISl,M608_s057_VISl.tif,16379646,357963.0,2789640,1355040
adult,M608,VISl,M608_s058_VISl.tif,213393867,4128829.0,4100880,2117680
adult,M608,VISl,M608_s059_VISl.tif,92629145,2004932.0,2650300,1339180
adult,M608,VISl,M608_s060_VISl.tif,30521668,637281.0,3052260,1420820
adult,M608,VISl,M608_s061_VISl.tif,38216481,779504.0,3126480,1502880
adult,M608,VISl,M608_s062_VISl.tif,39394023,881331.0,2065140,1281160
adult,M608,VISl,M608_s063_VISl.tif,14146844,364912.0,3557220,1718280
adult,M608,VISl,M608_s064_VISl.tif,51391872,1220705.0,1896960,1042880
adult,M608,VISl,M608_s065_VISl.tif,26691685,673527.0,1593720,875160
adult,M608,VISl,M608_s066_VISl.tif,17318511,354914.0,1955680,967020
adult,M608,VISl,M608_s067_VISl.tif,15198791,347873.0,1144920,683440
adult,M608,VISl,M608_s068_VISl.tif,27016481,683675.0,1576440,858500
adult,M608,VISl,M608_s069_VISl.tif,48898239,1048219.0,1436400,786800
adult,M608,VISl,M608_s070_VISl.tif,26541807,470544.0,1367820,724800
adult,M608,VISl,M608_s071_VISl.tif,4419745,89871.0,385020,208740
adult,M608,VISli,M608_s045_VISli.tif,3290877,77801.0,1786840,708300
adult,M608,VISli,M608_s047_VISli.tif,1378366,4009.0,1722800,687200
adult,M608,VISli,M608_s053_VISli.tif,10036629,229645.0,1740180,704380
adult,M608,VISli,M608_s054_VISli.tif,10206560,261263.0,2087180,964660
adult,M608,VISli,M608_s058_VISli.tif,120407271,2501695.0,2509320,1254660
adult,M608,VISli,M608_s059_VISli.tif,57541963,1200873.0,1794260,794620
adult,M608,VISli,M608_s060_VISli.tif,17511507,338448.0,1713600,756400
adult,M608,VISli,M608_s061_VISli.tif,23299861,435666.0,1889180,879380
adult,M608,VISli,M608_s062_VISli.tif,20579338,435423.0,1153660,674400
adult,M608,VISli,M608_s063_VISli.tif,6941370,160612.0,2259260,962220
adult,M608,VISp,M608_s024_VISp.tif,12332096,1734368.0,1196800,631200
adult,M608,VISp,M608_s025_VISp.tif,51133295,4987005.0,2383420,1433960
adult,M608,VISp,M608_s029_VISp.tif,114076,7984.0,8000,3200
adult,M608,VISp,M608_s030_VISp.tif,4542868,385503.0,377200,181200
adult,M608,VISp,M608_s031_VISp.tif,13340973,1238810.0,826000,440800
adult,M608,VISp,M608_s032_VISp.tif,15268070,1796310.0,1316380,802100
adult,M608,VISp,M608_s033_VISp.tif,19840587,3137525.0,2463920,1287220
adult,M608,VISp,M608_s034_VISp.tif,54860836,5072703.0,2134520,1593200
adult,M608,VISp,M608_s035_VISp.tif,71103522,7231149.0,2217600,1701200
adult,M608,VISp,M608_s036_VISp.tif,86591374,8988664.0,6892200,3955100
adult,M608,VISp,M608_s037_VISp.tif,100687622,11385736.0,5152140,3719440
adult,M608,VISp,M608_s038_VISp.tif,75598919,9567077.0,6021180,3992720
adult,M608,VISp,M608_s039_VISp.tif,79552904,9088930.0,5781280,3788360
adult,M608,VISp,M608_s040_VISp.tif,66085304,9424774.0,6566400,4272400
adult,M608,VISp,M608_s041_VISp.tif,51922103,8212889.0,7290360,4600600
adult,M608,VISp,M608_s042_VISp.tif,62125002,8727168.0,5731200,4302340
adult,M608,VISp,M608_s043_VISp.tif,49115640,8377391.0,7914520,4487240
adult,M608,VISp,M608_s044_VISp.tif,44576679,7458427.0,7763880,4675260
adult,M608,VISp,M608_s045_VISp.tif,75587010,8810003.0,8411520,5194240
adult,M608,VISp,M608_s046_VISp.tif,51417714,7540341.0,9307080,5642240
adult,M608,VISp,M608_s047_VISp.tif,47430420,8017705.0,11512160,6755680
adult,M608,VISp,M608_s048_VISp.tif,43889706,6253255.0,10394280,6611000
adult,M608,VISp,M608_s049_VISp.tif,34929727,3464101.0,8449920,4990540
adult,M608,VISp,M608_s050_VISp.tif,32691424,3137175.0,11612580,6048720
adult,M608,VISp,M608_s051_VISp.tif,59989643,6503727.0,14829000,9190020
adult,M608,VISp,M608_s052_VISp.tif,58306911,3058244.0,16940420,7845300
adult,M608,VISp,M608_s053_VISp.tif,107212759,2772260.0,11973780,6043120
adult,M608,VISp,M608_s054_VISp.tif,90036230,2304312.0,11061640,5507240
adult,M608,VISp,M608_s055_VISp.tif,26606507,1864986.0,17000240,8590120
adult,M608,VISp,M608_s056_VISp.tif,132601067,4420534.0,14403000,7845480
adult,M608,VISp,M608_s057_VISp.tif,114828208,2277051.0,9765460,4728220
adult,M608,VISp,M608_s058_VISp.tif,408529333,9170478.0,8802000,4661700
adult,M608,VISp,M608_s059_VISp.tif,316753094,7259219.0,8834000,4910880
adult,M608,VISp,M608_s060_VISp.tif,110515726,2405656.0,10932360,5356720
adult,M608,VISp,M608_s061_VISp.tif,95461782,2198420.0,9355000,4117840
adult,M608,VISp,M608_s062_VISp.tif,225700594,5313938.0,11363940,5049480
adult,M608,VISp,M608_s063_VISp.tif,64335647,1643620.0,10965480,5354420
adult,M608,VISp,M608_s064_VISp.tif,338039356,7092899.0,14588640,5305560
adult,M608,VISp,M608_s065_VISp.tif,153149299,3500745.0,11549460,4350540
adult,M608,VISp,M608_s066_VISp.tif,93303723,2004088.0,16031720,6128520
adult,M608,VISp,M608_s067_VISp.tif,125751251,2751764.0,7626800,5067820
adult,M608,VISp,M608_s068_VISp.tif,177653966,4276883.0,11928060,4734960
adult,M608,VISp,M608_s069_VISp.tif,303637013,5997564.0,12641120,5052440
adult,M608,VISp,M608_s070_VISp.tif,190268485,3647752.0,12648243,5164281
adult,M608,VISp,M608_s071_VISp.tif,103376392,2128941.0,9733862,3937681
adult,M608,VISp,M608_s072_VISp.tif,417290204,9359156.0,9949084,4559801
adult,M608,VISpl,M608_s064_VISpl.tif,4485204,95866.0,213180,110560
adult,M608,VISpl,M608_s065_VISpl.tif,3056557,71813.0,201240,108760
adult,M608,VISpl,M608_s066_VISpl.tif,1617918,37756.0,279600,135520
adult,M608,VISpl,M608_s067_VISpl.tif,2648385,64479.0,280280,129620
adult,M608,VISpl,M608_s068_VISpl.tif,6021577,142130.0,429200,200400
adult,M608,VISpl,M608_s069_VISpl.tif,21341414,455887.0,1383480,366200
adult,M608,VISpl,M608_s070_VISpl.tif,15792389,312126.0,1445660,560980
adult,M608,VISpl,M608_s071_VISpl.tif,21146755,490589.0,2613920,1125460
