age,identifier,region,image_count,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,13,130690370,3735778.0,16572400,12385340
adult,M608,RSPd,10,188255883,4624696.0,25583540,15350540
adult,M608,RSPv,8,125439639,3102796.0,20220120,11634820
adult,M608,VISam,3,7727327,241222.0,3399600,2156800
adult,M608,VISl,21,733132915,15677431.0,52879160,27091420
adult,M608,VISli,10,271193742,5645435.0,18656280,8386220
adult,M608,VISp,46,4858085061,235997230.0,394647849,204612103
adult,M608,VISpl,9,170686753,3626303.0,9010301,3781901
adult,M608,VISpm,39,181800513,9772884.0,28450640,18497380
adult,M608,VISpor,24,1471556982,31566886.0,88425972,45679561
adult,M608,VISrl,22,406860870,58452002.0,58282840,32161540
adult,M609,RSPagl,3,97588426,1994285.0,7752400,2173840
adult,M609,RSPd,1,26981999,727343.0,3806400,1162800
adult,M609,VISa,3,175368817,3009341.0,10876040,8226800
adult,M609,VISal,3,31280236,684536.0,11288180,5844206
adult,M609,VISam,6,128507576,2462970.0,12015040,7718740
adult,M609,VISl,21,602805514,12681177.0,61853060,30938116
adult,M609,VISli,9,243520232,5098304.0,11982640,5154140
adult,M609,VISp,50,8472310881,346347621.0,508857504,263317521
adult,M609,VISpm,5,28087813,654254.0,8331960,4718723
adult,M609,VISrl,2,30166334,503296.0,4210700,1768720
adult,M610,RSPagl,19,252869825,5070247.0,25603440,18197300
adult,M610,RSPd,19,455599456,8912735.0,52133740,31193680
adult,M610,RSPv,6,115036036,2717601.0,15869560,9553660
adult,M610,VISa,15,538836990,12165138.0,60185660,35081680
adult,M610,VISal,6,20576782,470487.0,12216820,5483024
adult,M610,VISam,6,74566793,1810139.0,10103300,6643600
adult,M610,VISl,18,507656302,11351414.0,49559820,23915772
adult,M610,VISli,14,311996446,6820549.0,23371480,9894403
adult,M610,VISp,44,8166990815,268670885.0,455235120,220607682
adult,M610,VISpl,3,27696337,548640.0,932380,307740
adult,M610,VISpor,9,800037026,16008732.0,24182780,10819200
p12,M677,RSPagl,17,147924394,3361999.0,21845400,14941920
p12,M677,RSPd,8,85882773,1910123.0,22527420,13165820
p12,M677,RSPv,4,120788399,2881302.0,24710880,14441760
p12,M677,VISa,3,34386161,761970.0,8331420,4891500
p12,M677,VISal,9,95675536,2630487.0,27582499,14316180
p12,M677,VISam,8,60186737,1304756.0,11896760,7740300
p12,M677,VISl,5,31896234,684289.0,11323780,5516640
p12,M677,VISli,6,17207325,326927.0,11958220,4317160
p12,M677,VISp,20,741427026,36088054.0,165148283,103403351
p12,M677,VISpm,4,30225236,900736.0,7096920,5196920
p12,M677,VISrl,8,60943446,1485259.0,16428801,7215621
p12,M678,RSPagl,4,26233791,585455.0,6629200,4090800
p12,M678,RSPd,5,75951846,1745258.0,17734960,9619840
p12,M678,RSPv,2,69151586,1248262.0,15091518,10320998
p12,M678,VISa,3,54380786,1399821.0,11197320,7678480
p12,M678,VISal,7,66761564,1712785.0,19957460,9468120
p12,M678,VISam,8,111923147,2418556.0,21005520,15094380
p12,M678,VISl,6,14241362,612286.0,14552983,5334039
p12,M678,VISli,10,13728753,366831.0,16707320,5751080
