age,identifier,region,percent_total
p3,M487,RSPv,1.84
p3,M488,RSPv,1.45
p3,M496,RSPv,7.85
p3,M729,RSPv,5.73
p3,M730,RSPv,1.31
p12,M677,RSPv,0.807
p12,M678,RSPv,0.299
p12,M704,RSPv,0.61
p12,M705,RSPv,2.34
p20,M648,RSPv,0.0
p20,M649,RSPv,0.419
p20,M712,RSPv,0.0
p20,M715,RSPv,1.13
adult,M608,RSPv,1.28
adult,M609,RSPv,0.0
adult,M610,RSPv,1.24
p3,M487,RSPd,15.9
p3,M488,RSPd,21.5
p3,M496,RSPd,19.3
p3,M729,RSPd,9.92
p3,M730,RSPd,15.9
p12,M677,RSPd,1.77
p12,M678,RSPd,1.63
p12,M704,RSPd,5.49
p12,M705,RSPd,7.67
p20,M648,RSPd,3.49
p20,M649,RSPd,6.64
p20,M712,RSPd,4.46
p20,M715,RSPd,6.21
adult,M608,RSPd,10.8
adult,M609,RSPd,0.111
adult,M610,RSPd,2.84
p3,M487,RSPagl,13.4
p3,M488,RSPagl,21.7
p3,M496,RSPagl,24.7
p3,M729,RSPagl,18.2
p3,M730,RSPagl,14.9
p12,M677,RSPagl,2.8
p12,M678,RSPagl,1.25
p12,M704,RSPagl,6.07
p12,M705,RSPagl,6.6
p20,M648,RSPagl,14.0
p20,M649,RSPagl,12.4
p20,M712,RSPagl,4.49
p20,M715,RSPagl,4.83
adult,M608,RSPagl,14.3
adult,M609,RSPagl,0.542
adult,M610,RSPagl,2.48
p3,M487,VISpm,38.1
p3,M488,VISpm,40.1
p3,M496,VISpm,25.2
p3,M729,VISpm,15.1
p3,M730,VISpm,45.9
p12,M677,VISpm,11.7
p12,M678,VISpm,3.59
p12,M704,VISpm,13.5
p12,M705,VISpm,5.24
p20,M648,VISpm,29.0
p20,M649,VISpm,29.3
p20,M712,VISpm,0.0
p20,M715,VISpm,18.2
adult,M608,VISpm,18.7
adult,M609,VISpm,14.4
adult,M610,VISpm,0.0
p3,M487,VISam,4.25
p3,M488,VISam,7.76
p3,M496,VISam,7.15
p3,M729,VISam,14.0
p3,M730,VISam,5.87
p12,M677,VISam,3.28
p12,M678,VISam,9.67
p12,M704,VISam,1.81
p12,M705,VISam,17.8
p20,M648,VISam,18.6
p20,M649,VISam,7.19
p20,M712,VISam,46.5
p20,M715,VISam,2.07
adult,M608,VISam,3.82
adult,M609,VISam,12.3
adult,M610,VISam,7.15
p3,M487,VISa,6.5
p3,M488,VISa,2.15
p3,M496,VISa,0.0
p3,M729,VISa,23.1
p3,M730,VISa,4.61
p12,M677,VISa,0.501
p12,M678,VISa,0.425
p12,M704,VISa,3.24
p12,M705,VISa,2.31
p20,M648,VISa,6.41
p20,M649,VISa,3.14
p20,M712,VISa,0.551
p20,M715,VISa,1.4
adult,M608,VISa,0.0
adult,M609,VISa,6.69
adult,M610,VISa,26.0
p3,M487,VISrl,2.21
p3,M488,VISrl,0.719
p3,M496,VISrl,0.281
p3,M729,VISrl,0.0
p3,M730,VISrl,3.08
p12,M677,VISrl,16.9
p12,M678,VISrl,14.3
p12,M704,VISrl,16.8
p12,M705,VISrl,10.6
p20,M648,VISrl,6.13
p20,M649,VISrl,1.36
p20,M712,VISrl,6.67
p20,M715,VISrl,6.54
adult,M608,VISrl,40.6
adult,M609,VISrl,2.59
adult,M610,VISrl,0.0
p3,M487,VISal,7.03
p3,M488,VISal,1.44
p3,M496,VISal,0.986
p3,M729,VISal,3.34
p3,M730,VISal,7.28
p12,M677,VISal,32.1
p12,M678,VISal,18.1
p12,M704,VISal,9.64
p12,M705,VISal,2.53
p20,M648,VISal,13.7
p20,M649,VISal,21.5
p20,M712,VISal,37.3
p20,M715,VISal,4.05
adult,M608,VISal,0.0
adult,M609,VISal,12.1
adult,M610,VISal,17.1
p3,M487,VISl,10.7
p3,M488,VISl,2.15
p3,M496,VISl,11.3
p3,M729,VISl,9.6
p3,M730,VISl,1.07
p12,M677,VISl,15.2
p12,M678,VISl,23.6
p12,M704,VISl,28.8
p12,M705,VISl,33.4
p20,M648,VISl,6.61
p20,M649,VISl,12.0
p20,M712,VISl,0.0
p20,M715,VISl,42.4
adult,M608,VISl,7.52
adult,M609,VISl,50.7
adult,M610,VISl,37.3
p3,M487,VISli,0.0
p3,M488,VISli,1.06
p3,M496,VISli,0.0
p3,M729,VISli,0.605
p3,M730,VISli,0.113
p12,M677,VISli,14.9
