age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,M608_s001_RSPagl.tif,25903350,1341600,984400
adult,M608,RSPagl,M608_s002_RSPagl.tif,17761884,1376000,980000
adult,M608,RSPagl,M608_s003_RSPagl.tif,6982997,1201200,949600
adult,M608,RSPagl,M608_s004_RSPagl.tif,9194723,1176000,922800
adult,M608,RSPagl,M608_s005_RSPagl.tif,15292821,1265220,939120
adult,M608,RSPagl,M608_s006_RSPagl.tif,8442678,1168000,864800
adult,M608,RSPagl,M608_s007_RSPagl.tif,4895284,1198800,910800
adult,M608,RSPagl,M608_s008_RSPagl.tif,13527738,1358800,1006400
adult,M608,RSPagl,M608_s009_RSPagl.tif,7810862,1377600,996800
adult,M608,RSPagl,M608_s010_RSPagl.tif,7428914,1231200,914400
adult,M608,RSPagl,M608_s011_RSPagl.tif,6493476,1387540,1042640
adult,M608,RSPagl,M608_s017_RSPagl.tif,4630594,1280840,936380
adult,M608,RSPagl,M608_s031_RSPagl.tif,2325049,1209600,937200
adult,M608,RSPd,M608_s001_RSPd.tif,39497074,2396040,1473860
adult,M608,RSPd,M608_s002_RSPd.tif,27520989,2592780,1570460
adult,M608,RSPd,M608_s003_RSPd.tif,11946448,2465540,1472680
adult,M608,RSPd,M608_s004_RSPd.tif,16044267,2551700,1485800
adult,M608,RSPd,M608_s005_RSPd.tif,26422297,2433200,1511600
adult,M608,RSPd,M608_s006_RSPd.tif,13604384,2159820,1377200
adult,M608,RSPd,M608_s008_RSPd.tif,21584979,2721600,1507600
adult,M608,RSPd,M608_s010_RSPd.tif,13551019,2625640,1557140
adult,M608,RSPd,M608_s011_RSPd.tif,12090751,2881600,1720340
adult,M608,RSPd,M608_s012_RSPd.tif,5993675,2755620,1673860
adult,M608,RSPv,M608_s001_RSPv.tif,28715547,2280180,1371480
adult,M608,RSPv,M608_s002_RSPv.tif,20252045,2422580,1445240
adult,M608,RSPv,M608_s003_RSPv.tif,12861349,2436000,1391200
adult,M608,RSPv,M608_s004_RSPv.tif,13353842,2419860,1336200
adult,M608,RSPv,M608_s008_RSPv.tif,15186633,2671780,1509520
adult,M608,RSPv,M608_s009_RSPv.tif,15054979,2557800,1506400
adult,M608,RSPv,M608_s011_RSPv.tif,9979791,2920320,1639180
adult,M608,RSPv,M608_s017_RSPv.tif,10035453,2511600,1435600
adult,M608,VISam,M608_s016_VISam.tif,2123920,904800,462000
