age,identifier,region,image_count,raw_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M608,RSPagl,13,130690370,16572400,12385340
adult,M608,RSPd,10,188255883,25583540,15350540
adult,M608,RSPv,8,125439639,20220120,11634820
adult,M608,VISam,3,7727327,3399600,2156800
adult,M608,VISl,21,733132915,52879160,27091420
adult,M608,VISli,10,271193742,18656280,8386220
adult,M608,VISp,46,4858085061,394647849,204612103
adult,M608,VISpl,9,170686753,9010301,3781901
adult,M608,VISpm,39,181800513,28450640,18497380
adult,M608,VISpor,24,1471556982,88425972,45679561
adult,M608,VISrl,22,406860870,58282840,32161540
adult,M609,RSPagl,3,97588426,7752400,2173840
adult,M609,RSPd,1,26981999,3806400,1162800
adult,M609,VISa,3,175368817,10876040,8226800
adult,M609,VISal,3,31280236,11288180,5844206
adult,M609,VISam,6,128507576,12015040,7718740
adult,M609,VISl,21,602805514,61853060,30938116
adult,M609,VISli,9,243520232,11982640,5154140
adult,M609,VISp,50,8472310881,508857504,263317521
adult,M609,VISpm,5,28087813,8331960,4718723
adult,M609,VISrl,2,30166334,4210700,1768720
adult,M610,RSPagl,19,252869825,25603440,18197300
adult,M610,RSPd,19,455599456,52133740,31193680
adult,M610,RSPv,6,115036036,15869560,9553660
adult,M610,VISa,15,538836990,60185660,35081680
adult,M610,VISal,6,20576782,12216820,5483024
adult,M610,VISam,6,74566793,10103300,6643600
adult,M610,VISl,18,507656302,49559820,23915772
adult,M610,VISli,14,311996446,23371480,9894403
adult,M610,VISp,44,8166990815,455235120,220607682
adult,M610,VISpl,3,27696337,932380,307740
adult,M610,VISpor,9,800037026,24182780,10819200
p12,M677,RSPagl,17,147924394,21845400,14941920
p12,M677,RSPd,8,85882773,22527420,13165820
p12,M677,RSPv,4,120788399,24710880,14441760
p12,M677,VISa,3,34386161,8331420,4891500
p12,M677,VISal,9,95675536,27582499,14316180
p12,M677,VISam,8,60186737,11896760,7740300
p12,M677,VISl,5,31896234,11323780,5516640
p12,M677,VISli,6,17207325,11958220,4317160
p12,M677,VISp,20,741427026,165148283,103403351
p12,M677,VISpm,4,30225236,7096920,5196920
p12,M677,VISrl,8,60943446,16428801,7215621
p12,M678,RSPagl,4,26233791,6629200,4090800
p12,M678,RSPd,5,75951846,17734960,9619840
p12,M678,RSPv,2,69151586,15091518,10320998
p12,M678,VISa,3,54380786,11197320,7678480
p12,M678,VISal,7,66761564,19957460,9468120
p12,M678,VISam,8,111923147,21005520,15094380
p12,M678,VISl,6,14241362,14552983,5334039
p12,M678,VISli,10,13728753,16707320,5751080
p12,M678,VISp,21,525733368,218178219,116680247
p12,M678,VISpm,7,60592760,12920640,7768800
p12,M678,VISpor,3,3776135,4347880,1927020
p12,M678,VISrl,8,106392893,28093039,14900680
p12,M704,RSPagl,12,55294134,16193080,10662112
p12,M704,RSPd,18,203746626,52179260,30505873
p12,M704,RSPv,6,110529883,29335880,17090640
p12,M704,VISa,9,258474544,48565860,29241200
p12,M704,VISal,10,72897696,34662421,17655321
p12,M704,VISam,4,32596446,7474000,4554720
p12,M704,VISl,6,18351006,18590300,8898692
p12,M704,VISli,7,10265298,13175480,5427246
p12,M704,VISp,24,471691209,203088600,104865107
