 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
RSPagl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,14,2,6,0,5,6,10,8,7,6,,16,21,42,39,61,76,88,87,103,117,127,100,76,67,83,57,64,71,66,,36,48,66,49,,30,43,,51,38,29,4,0,2,3,7,104,20,20,28,11,,,
RSPd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,8,21,14,0,5,13,14,13,28,29,,36,66,47,69,92,66,92,74,90,105,126,104,86,84,94,47,76,93,63,,25,29,26,32,,28,55,,52,78,87,36,5,7,8,3,66,17,12,1,0,,,
RSPv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,10,7,0,0,0,1,1,3,,,3,5,7,15,8,9,28,22,21,33,45,50,72,84,87,107,113,83,93,,62,48,34,35,,11,,,0,0,0,,,,,,,,,,,,,
VISa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,,,14,24,35,36,57,127,123,145,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,15,26,26,44,161,79,1,,,,,,,,,,,,,,,,,,,,,,,,,
VISam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,8,12,72,107,139,216,248,154,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,103,,289,421,348,323,,101,,136,128,53,78,40,17,27,26,0,0,0,,,,,,
VISli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,94,98,120,,,255,,193,62,105,67,46,2,1,,,,,,,,,,
VISp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,270,,398,810,1073,1187,1102,1384,1559,,,1496,1365,1197,,601,707,,557,,432,379,221,51,184,144,31,103,72,80,72,21,,,
VISpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,250,102,230,121,184,186,,,20,63,61,,8,6,,0,0,0,0,0,0,,,,,,,,,,,
VISpor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,95,,139,136,225,188,159,113,156,144,9,36,20,1,0,0,,,
VISrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,3,25,67,105,30,27,42,75,90,87,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
