age,identifier,section,region,human_cell_count,has_human_count
p20,M648,001,RSPd,,False
p20,M648,001,RSPv,,False
p20,M648,001,VISa,,False
p20,M648,001,VISal,,False
p20,M648,001,VISam,,False
p20,M648,001,VISl,,False
p20,M648,001,VISli,,False
p20,M648,001,VISp,,False
p20,M648,001,VISpm,,False
p20,M648,001,VISpor,,False
p20,M648,001,VISrl,,False
p20,M648,002,RSPd,,False
p20,M648,002,RSPv,,False
p20,M648,002,VISa,,False
p20,M648,002,VISal,,False
p20,M648,002,VISam,,False
p20,M648,002,VISl,,False
p20,M648,002,VISli,,False
p20,M648,002,VISp,,False
p20,M648,002,VISpm,,False
p20,M648,002,VISpor,,False
p20,M648,002,VISrl,,False
p20,M648,003,RSPd,,False
p20,M648,003,RSPv,,False
p20,M648,003,VISa,,False
p20,M648,003,VISal,,False
p20,M648,003,VISam,,False
p20,M648,003,VISl,,False
p20,M648,003,VISli,,False
p20,M648,003,VISp,,False
p20,M648,003,VISpm,,False
p20,M648,003,VISpor,,False
p20,M648,003,VISrl,,False
p20,M648,004,RSPd,,False
p20,M648,004,RSPv,,False
p20,M648,004,VISa,,False
p20,M648,004,VISal,,False
p20,M648,004,VISam,,False
p20,M648,004,VISl,,False
p20,M648,004,VISli,,False
p20,M648,004,VISp,,False
p20,M648,004,VISpm,,False
p20,M648,004,VISpor,,False
p20,M648,004,VISrl,,False
p20,M648,005,RSPd,,False
p20,M648,005,RSPv,,False
p20,M648,005,VISa,,False
p20,M648,005,VISal,,False
p20,M648,005,VISam,,False
p20,M648,005,VISl,,False
p20,M648,005,VISli,,False
p20,M648,005,VISp,,False
p20,M648,005,VISpm,,False
p20,M648,005,VISpor,,False
p20,M648,005,VISrl,,False
p20,M648,006,RSPd,,False
p20,M648,006,RSPv,,False
p20,M648,006,VISa,,False
p20,M648,006,VISal,,False
p20,M648,006,VISam,,False
p20,M648,006,VISl,,False
p20,M648,006,VISli,,False
p20,M648,006,VISp,,False
p20,M648,006,VISpm,,False
p20,M648,006,VISpor,,False
p20,M648,006,VISrl,,False
p20,M648,007,RSPd,,False
p20,M648,007,RSPv,,False
p20,M648,007,VISa,,False
p20,M648,007,VISal,,False
p20,M648,007,VISam,,False
p20,M648,007,VISl,,False
p20,M648,007,VISli,,False
p20,M648,007,VISp,,False
p20,M648,007,VISpm,,False
p20,M648,007,VISpor,,False
p20,M648,007,VISrl,,False
p20,M648,008,RSPd,,False
p20,M648,008,RSPv,,False
p20,M648,008,VISa,,False
p20,M648,008,VISal,,False
p20,M648,008,VISam,,False
p20,M648,008,VISl,,False
p20,M648,008,VISli,,False
p20,M648,008,VISp,,False
p20,M648,008,VISpm,,False
p20,M648,008,VISpor,,False
p20,M648,008,VISrl,,False
p20,M648,009,RSPd,,False
p20,M648,009,RSPv,,False
p20,M648,009,VISa,,False
p20,M648,009,VISal,,False
p20,M648,009,VISam,,False
p20,M648,009,VISl,,False
p20,M648,009,VISli,,False
p20,M648,009,VISp,,False
p20,M648,009,VISpm,,False
p20,M648,009,VISpor,,False
p20,M648,009,VISrl,,False
p20,M648,010,RSPd,,False
p20,M648,010,RSPv,,False
p20,M648,010,VISa,,False
p20,M648,010,VISal,,False
p20,M648,010,VISam,,False
p20,M648,010,VISl,,False
p20,M648,010,VISli,,False
p20,M648,010,VISp,,False
p20,M648,010,VISpm,,False
p20,M648,010,VISpor,,False
p20,M648,010,VISrl,,False
p20,M648,011,RSPd,,False
p20,M648,011,RSPv,,False
p20,M648,011,VISa,,False
p20,M648,011,VISal,,False
p20,M648,011,VISam,,False
p20,M648,011,VISl,,False
p20,M648,011,VISli,,False
p20,M648,011,VISp,,False
p20,M648,011,VISpm,,False
p20,M648,011,VISpor,,False
p20,M648,011,VISrl,,False
p20,M648,012,RSPd,,False
p20,M648,012,RSPv,,False
p20,M648,012,VISa,,False
p20,M648,012,VISal,,False
p20,M648,012,VISam,,False
p20,M648,012,VISl,,False
p20,M648,012,VISli,,False
p20,M648,012,VISp,,False
p20,M648,012,VISpm,,False
p20,M648,012,VISpor,,False
p20,M648,012,VISrl,,False
p20,M648,013,RSPd,,False
p20,M648,013,RSPv,,False
p20,M648,013,VISa,,False
p20,M648,013,VISal,,False
p20,M648,013,VISam,,False
p20,M648,013,VISl,,False
p20,M648,013,VISli,,False
p20,M648,013,VISp,,False
p20,M648,013,VISpm,,False
p20,M648,013,VISpor,,False
p20,M648,013,VISrl,,False
p20,M648,014,RSPd,,False
p20,M648,014,RSPv,,False
p20,M648,014,VISa,,False
p20,M648,014,VISal,,False
p20,M648,014,VISam,,False
p20,M648,014,VISl,,False
p20,M648,014,VISli,,False
p20,M648,014,VISp,,False
p20,M648,014,VISpm,,False
p20,M648,014,VISpor,,False
p20,M648,014,VISrl,,False
p20,M648,015,RSPd,,False
p20,M648,015,RSPv,,False
p20,M648,015,VISa,,False
p20,M648,015,VISal,,False
p20,M648,015,VISam,,False
p20,M648,015,VISl,,False
p20,M648,015,VISli,,False
p20,M648,015,VISp,,False
p20,M648,015,VISpm,,False
p20,M648,015,VISpor,,False
p20,M648,015,VISrl,,False
p20,M648,016,RSPd,,False
p20,M648,016,RSPv,,False
p20,M648,016,VISa,,False
p20,M648,016,VISal,,False
p20,M648,016,VISam,,False
p20,M648,016,VISl,,False
p20,M648,016,VISli,,False
p20,M648,016,VISp,,False
p20,M648,016,VISpm,,False
p20,M648,016,VISpor,,False
p20,M648,016,VISrl,,False
p20,M648,017,RSPd,,False
p20,M648,017,RSPv,,False
p20,M648,017,VISa,,False
p20,M648,017,VISal,,False
p20,M648,017,VISam,,False
p20,M648,017,VISl,,False
p20,M648,017,VISli,,False
p20,M648,017,VISp,,False
p20,M648,017,VISpm,,False
p20,M648,017,VISpor,,False
p20,M648,017,VISrl,,False
p20,M648,018,RSPd,,False
p20,M648,018,RSPv,,False
p20,M648,018,VISa,,False
p20,M648,018,VISal,,False
p20,M648,018,VISam,,False
p20,M648,018,VISl,,False
p20,M648,018,VISli,,False
p20,M648,018,VISp,,False
p20,M648,018,VISpm,,False
p20,M648,018,VISpor,,False
p20,M648,018,VISrl,,False
p20,M648,019,RSPd,,False
p20,M648,019,RSPv,,False
p20,M648,019,VISa,,False
p20,M648,019,VISal,,False
p20,M648,019,VISam,,False
p20,M648,019,VISl,,False
p20,M648,019,VISli,,False
p20,M648,019,VISp,,False
p20,M648,019,VISpm,,False
p20,M648,019,VISpor,,False
p20,M648,019,VISrl,,False
p20,M648,020,RSPd,,False
p20,M648,020,RSPv,,False
p20,M648,020,VISa,,False
p20,M648,020,VISal,,False
p20,M648,020,VISam,,False
p20,M648,020,VISl,,False
p20,M648,020,VISli,,False
p20,M648,020,VISp,,False
p20,M648,020,VISpm,,False
p20,M648,020,VISpor,,False
p20,M648,020,VISrl,,False
p20,M648,021,RSPd,,False
p20,M648,021,RSPv,,False
p20,M648,021,VISa,,False
p20,M648,021,VISal,,False
p20,M648,021,VISam,,False
p20,M648,021,VISl,,False
p20,M648,021,VISli,,False
p20,M648,021,VISp,,False
p20,M648,021,VISpm,,False
p20,M648,021,VISpor,,False
p20,M648,021,VISrl,,False
p20,M648,022,RSPd,,False
p20,M648,022,RSPv,,False
p20,M648,022,VISa,,False
p20,M648,022,VISal,,False
p20,M648,022,VISam,,False
p20,M648,022,VISl,,False
p20,M648,022,VISli,,False
p20,M648,022,VISp,,False
p20,M648,022,VISpm,,False
p20,M648,022,VISpor,,False
p20,M648,022,VISrl,,False
p20,M648,023,RSPd,,False
p20,M648,023,RSPv,,False
p20,M648,023,VISa,,False
p20,M648,023,VISal,,False
p20,M648,023,VISam,,False
p20,M648,023,VISl,,False
p20,M648,023,VISli,,False
p20,M648,023,VISp,,False
p20,M648,023,VISpm,,False
p20,M648,023,VISpor,,False
p20,M648,023,VISrl,,False
p20,M648,024,RSPd,,False
p20,M648,024,RSPv,,False
p20,M648,024,VISa,,False
p20,M648,024,VISal,,False
p20,M648,024,VISam,,False
p20,M648,024,VISl,,False
p20,M648,024,VISli,,False
p20,M648,024,VISp,,False
