%totals,,RSPv,RSPd,RSPagl,VISpm,VISam,VISa,VISrl,VISal,VISl,VISli,VISpl,VISpor
p3,M729,15.0854,12.6186,1.8027,0.9488,0.1898,1.0436,15.37,14.611,31.3093,4.9336,0,2.0873
p3,M730,17.7403,36.7691,22.5966,8.3251,1.9822,0.9911,0.2973,0.6938,5.7483,4.0634,0,0.7929
p3,M789,12.7407,21.4815,6.5185,7.5556,4,0.2963,1.037,1.3333,18.8148,24.2963,0,1.9259
p3,M795,29.3525,36.6187,18.8489,4.5324,6.1151,0.1439,0.2158,1.295,1.9424,0.4317,0,0.5036
p3,M796,21.3675,37.6068,10.6838,3.4188,4.4872,1.4957,0.8547,2.1368,6.6239,1.0684,0,10.2564
p12,M677,13.9197,20.4953,14.6883,15.0299,4.526,2.8181,7.088,14.2613,3.6721,2.3911,0,1.1102
p12,M678,12.0773,22.0612,7.7295,7.0853,15.942,0.7246,4.9919,7.649,10.9501,9.5008,0,1.2882
p12,M704,16.5091,25.5829,16.3831,12.6654,5.041,1.7643,3.5287,1.5753,2.1424,2.4575,0,12.3503
p12,M705,19.7393,24.0284,8.981,3.3649,10.8768,0.6635,3.673,1.2796,18.5782,4.0047,0,4.8104
p12,M711,15.8326,20.2671,15.4586,14.8531,9.2609,3.8112,0.7124,3.7222,7.0347,6.1799,0,2.8673
p12,M758,14.0782,18.3106,15.4412,16.5352,3.4792,0.8608,0.1793,3.1026,17.8802,3.3895,0,6.7432
p20,M648,3.4483,10.9914,8.6207,13.3621,8.8362,3.2328,3.2328,16.8103,14.6552,14.0086,0,2.8017
p20,M649,15.1763,17.4246,13.9499,12.0593,7.3071,7.256,4.2412,16.6071,0.8687,5.1099,0,0
p20,M712,16.0118,18.2056,19.0242,3.9293,7.5966,0.2292,9.463,14.0799,3.7656,3.8965,0,3.7983
p20,M715,6.7507,13.5914,5.0405,10.6211,1.7102,0.45,0.18,0.9901,33.3933,11.3411,0,15.9316
adult,M762,3.0343,9.0652,7.4444,17.7912,9.6683,2.9778,29.2688,7.2748,6.8225,4.6551,0,1.9977
adult,M763,5.57,14.0898,12.8103,8.6577,6.8265,1.3255,3.0953,2.7199,26.494,10.642,0,7.7689
adult,M764,7.8966,15.9584,14.4652,10.1579,7.2936,4.0488,4.0704,2.5269,15.4128,7.8894,0,10.28
adult,M773,4.6907,12.1062,10.2552,9.0711,13.6583,2.8397,13.1295,8.1168,11.175,5.4265,0,9.5309
adult,M776,8.7931,16.5381,12.3089,3.2392,9.1061,7.3373,12.3817,7.2281,13.1023,7.6794,0,2.2856
