age,identifier,RSPv-VSV,RSPd-VSV,RSPagl-VSV,VISpm-VSV,VISam-VSV,VISa-VSV,VISrl-VSV,VISal-VSV,VISl-VSV,VISli-VSV,VISpor-VSV,VISp-VSV,VISpl-VSV
adult,M608,125439639,188255883,130690370,181800513,7727327,,406860870,,733132915,271193742,1471556982,4858085061,170686753
adult,M609,,26981999,97588426,28087813,128507576,175368817,30166334,31280236,602805514,243520232,,8472310881,
adult,M610,115036036,455599456,252869825,,74566793,538836990,,20576782,507656302,311996446,800037026,8166990815,27696337
p12,M677,120788399,85882773,147924394,30225236,60186737,34386161,60943446,95675536,31896234,17207325,,741427026,
p12,M678,69151586,75951846,26233791,60592760,111923147,54380786,106392893,66761564,14241362,13728753,3776135,525733368,
p12,M704,110529883,203746626,55294134,89566100,32596446,258474544,66631714,72897696,18351006,10265298,11448100,471691209,
p12,M705,109619798,145536162,122128732,60764526,79465593,218106506,132281232,76293427,69653303,5960358,4446056,671765401,
p20,M648,,175096338,193824721,109910823,334256795,729697877,106234760,234923265,11554878,4419160,,3208127156,
p20,M649,49881660,270327808,208210419,159527622,199905101,118927462,29024631,229490388,25728483,11564401,3051354,2095539221,
p20,M712,,41663969,16129999,,39822433,5213717,18478645,16121535,,,,110582954,
p20,M715,193662002,263691534,287781156,102977232,111068649,301541075,73529676,91904648,56584100,19381281,1500050,694858964,
p3,M487,57341096,66063415,36474126,50585200,6333806,98103156,6640672,17346264,18801167,,,234524351,
p3,M488,26215443,79698488,54590905,42678890,25901002,6500010,16281501,3384940,6755737,1689010,,288021009,
p3,M496,141969025,306210910,103396469,119570222,121379468,,3161495,23373605,14784052,,14341704,2562300939,
p3,M729,43414466,20953442,56346845,9149380,43522748,79117379,,839963,12249138,765619,3267234,396386619,
p3,M730,40246752,124903766,106570444,64073686,19501794,49266741,8529851,15240731,13913411,3615708,,568141194,
p6,M733,809690317,669617789,385440972,179263525,72932559,144276666,128843929,84008362,157624607,72162395,106445478,972545256,9902896
p6,M734,645519817,566947297,296279305,162117051,113409294,166889634,45125539,74075970,69051271,37383692,46889732,1941054710,28921
