age,normalization,n_regions,r,r_squared,p_value,correlation_method,analysis_type
p3,none,8,-0.1734079512099449,0.03007031754283063,0.6813193318164804,Pearson,complete_pairs
p12,none,8,0.43842738005141646,0.19221856757874917,0.2772163892280033,Pearson,complete_pairs
p20,none,8,0.67898053414605,0.4610145657492553,0.06407136584342242,Pearson,complete_pairs
p3,none,8,0.02354134128724619,0.000554194749602602,0.9558762904847277,Pearson,averaged_replicates
p12,none,8,0.3773201382435193,0.1423704867241085,0.35680579195321716,Pearson,averaged_replicates
p20,none,8,0.67898053414605,0.4610145657492553,0.06407136584342242,Pearson,averaged_replicates
adult,none,8,0.7202392506273808,0.5187445781442911,0.043896616760691475,Pearson,averaged_replicates
p3,none,8,0.02354134128724613,0.0005541947496025993,0.9558762904847282,Pearson,imputed_data
p12,none,8,0.3773201382435193,0.1423704867241085,0.35680579195321716,Pearson,imputed_data
p20,none,8,0.67898053414605,0.4610145657492553,0.06407136584342242,Pearson,imputed_data
adult,none,8,0.7202392506273811,0.5187445781442915,0.043896616760691363,Pearson,imputed_data
p3,log,8,-0.1542814233566461,0.023802757592952667,0.715279956074674,Pearson,complete_pairs
p12,log,8,0.6027858138357339,0.36335073736160806,0.11371166823689996,Pearson,complete_pairs
p20,log,8,0.6760817157462078,0.4570864863663361,0.06566188844181134,Pearson,complete_pairs
p3,log,8,0.3002813682932995,0.09016890014409616,0.46990195403677965,Pearson,averaged_replicates
p12,log,8,0.4502143250507924,0.20269293848094055,0.26298092200140455,Pearson,averaged_replicates
p20,log,8,0.6760817157462078,0.4570864863663361,0.06566188844181134,Pearson,averaged_replicates
adult,log,8,0.5715489448287178,0.32666819633482064,0.13885760929343693,Pearson,averaged_replicates
p3,log,8,0.17670783706587448,0.031225659680499642,0.675505467406043,Pearson,imputed_data
p12,log,8,0.46103043115059716,0.21254905844690553,0.25024691456557524,Pearson,imputed_data
p20,log,8,0.6760817157462078,0.4570864863663361,0.06566188844181134,Pearson,imputed_data
adult,log,8,0.499059262491453,0.249060147478513,0.20802467834319596,Pearson,imputed_data
p3,zscore,8,0.2764424894090457,0.07642044995067035,0.5074722387595908,Pearson,complete_pairs
p12,zscore,8,0.4399017422822647,0.19351354286297204,0.2754154578011553,Pearson,complete_pairs
p20,zscore,8,0.6464263243978424,0.41786699287450463,0.08327304992819509,Pearson,complete_pairs
p3,zscore,8,0.12086944024924486,0.014609421586165773,0.7755674161221311,Pearson,averaged_replicates
p12,zscore,8,-0.3722806142322958,0.13859285573317545,0.363786605715355,Pearson,averaged_replicates
p20,zscore,8,0.6464263243978424,0.41786699287450463,0.08327304992819509,Pearson,averaged_replicates
adult,zscore,8,0.00217970846074704,4.751128973852231e-06,0.9959130595811757,Pearson,averaged_replicates
p3,zscore,8,0.4752509849132794,0.2258634986610421,0.2339899888417356,Pearson,imputed_data
p12,zscore,8,-0.5376438256909086,0.2890608833035561,0.16933627379815783,Pearson,imputed_data
p20,zscore,8,0.6464263243978424,0.41786699287450463,0.08327304992819509,Pearson,imputed_data
adult,zscore,8,-0.7273422252202408,0.5290267125883316,0.040877386035661,Pearson,imputed_data
p3,robust,8,0.6151246852292456,0.37837837837837845,0.10455324537893879,Spearman,complete_pairs
p12,robust,8,-0.4845561780836657,0.23479468971904913,0.2236538588082842,Spearman,complete_pairs
p20,robust,8,-0.3899448192056364,0.15205696202531646,0.3395897301354488,Spearman,complete_pairs
p3,robust,8,,,,Spearman,averaged_replicates
p12,robust,8,-0.0421907962847259,0.0017800632911392407,0.9209860846931923,Spearman,averaged_replicates
p20,robust,8,-0.3899448192056364,0.15205696202531646,0.3395897301354488,Spearman,averaged_replicates
adult,robust,8,,,,Spearman,averaged_replicates
p3,robust,8,-0.7559289460184544,0.5714285714285713,0.03001974528754441,Spearman,imputed_data
p12,robust,8,,,,Spearman,imputed_data
p20,robust,8,-0.3899448192056364,0.15205696202531646,0.3395897301354488,Spearman,imputed_data
adult,robust,8,,,,Spearman,imputed_data
p3,combined,8,-0.8536489543167384,0.7287165372060609,0.007001603501296789,Pearson,complete_pairs
p12,combined,8,0.7899893351220538,0.6240831496065846,0.01966196070646031,Pearson,complete_pairs
p20,combined,8,-0.24320846550720288,0.05915035769436829,0.5616473633770875,Pearson,complete_pairs
p3,combined,8,0.6724013558323476,0.4521235833251794,0.0677145644422487,Pearson,averaged_replicates
p12,combined,8,-0.10209935251768557,0.010424277784530625,0.8098899435381464,Pearson,averaged_replicates
p20,combined,8,-0.24320846550720288,0.05915035769436829,0.5616473633770875,Pearson,averaged_replicates
adult,combined,8,0.08442340593256742,0.00712731146925506,0.8424566455425846,Pearson,averaged_replicates
p3,combined,8,-0.21918427544657465,0.048041746603039906,0.6020022730487476,Pearson,imputed_data
p12,combined,8,0.13894518408510256,0.01930576418044304,0.7428114135586865,Pearson,imputed_data
p20,combined,8,-0.24320846550720288,0.05915035769436829,0.5616473633770875,Pearson,imputed_data
adult,combined,8,-0.6309238228488816,0.39806487023824694,0.09346355472911173,Pearson,imputed_data
