age,normalization,n_regions,r,r_squared,p_value,correlation_method,analysis_type
p3,none,8,0.3907731308477778,0.15270363979257448,0.3384739021266974,Pearson,complete_pairs
p12,none,8,0.7298935146518413,0.5327445427308176,0.03982464206863782,Pearson,complete_pairs
p20,none,7,-0.05797158671785213,0.0033607048665854496,0.9017496672911934,Pearson,complete_pairs
p3,none,8,0.09059008398512705,0.008206563316432373,0.8310705962159228,Pearson,averaged_replicates
p12,none,8,0.5579652752900914,0.3113252484295475,0.1506709947686954,Pearson,averaged_replicates
p20,none,8,0.8863738356625321,0.7856585765471096,0.0033620977754573655,Pearson,averaged_replicates
adult,none,8,-0.05469569412645546,0.0029916189559747743,0.8976499257891024,Pearson,averaged_replicates
p3,none,8,0.09059008398512683,0.008206563316432332,0.8310705962159232,Pearson,imputed_data
p12,none,8,0.5579652752900915,0.3113252484295476,0.1506709947686954,Pearson,imputed_data
p20,none,8,0.8863738356625324,0.7856585765471099,0.003362097775457345,Pearson,imputed_data
adult,none,8,-0.05469569412645578,0.0029916189559748094,0.8976499257891013,Pearson,imputed_data
p3,log,8,0.38943068035672357,0.1516562548031006,0.3402831883727056,Pearson,complete_pairs
p12,log,8,0.7106291066821364,0.5049937272638512,0.0481905944049361,Pearson,complete_pairs
p20,log,7,-0.3609964802343777,0.13031845874160944,0.42629276685402334,Pearson,complete_pairs
p3,log,8,0.060525635444444406,0.003663352545953785,0.8867912873688354,Pearson,averaged_replicates
p12,log,8,0.545373137746423,0.2974318593753789,0.16209699135127617,Pearson,averaged_replicates
p20,log,8,0.8588354513609464,0.7375983325143606,0.00630907076744931,Pearson,averaged_replicates
adult,log,8,-0.044042066689020984,0.0019397036382401717,0.917527848514545,Pearson,averaged_replicates
p3,log,8,0.06085840892579679,0.0037037459369795023,0.8861719253053197,Pearson,imputed_data
p12,log,8,0.5456839464396211,0.2977709694019193,0.16180947555205033,Pearson,imputed_data
p20,log,8,0.8575143668269323,0.7353308893145946,0.0064811044176901,Pearson,imputed_data
adult,log,8,-0.053733452030608156,0.0028872838671256677,0.8994435391250811,Pearson,imputed_data
p3,zscore,8,0.9983234820307361,0.9966497747739734,1.1765717307329752e-08,Pearson,complete_pairs
p12,zscore,8,0.2733926464310812,0.07474353912259017,0.5123589549821196,Pearson,complete_pairs
p20,zscore,7,1.0,1.0,0.0,Pearson,complete_pairs
p3,zscore,8,-0.05686935163315904,0.0032341231551758884,0.8935996457360074,Pearson,averaged_replicates
p12,zscore,8,0.3802106246948922,0.14456011913088015,0.3528296326181315,Pearson,averaged_replicates
p20,zscore,8,-0.08550065469097298,0.007310361952585,0.8404658598928959,Pearson,averaged_replicates
adult,zscore,8,-0.14081393939242176,0.01982856552721263,0.7394432751323028,Pearson,averaged_replicates
p3,zscore,8,-0.20583626737421776,0.04236856896655046,0.6248196728664125,Pearson,imputed_data
p12,zscore,8,0.7635599582931243,0.5830238099085977,0.027462062178056287,Pearson,imputed_data
p20,zscore,8,0.33782860950470617,0.11412816939988325,0.4131159462469309,Pearson,imputed_data
adult,zscore,8,0.27503504515211863,0.07564427606182793,0.5097251616669479,Pearson,imputed_data
p3,robust,8,0.4808846015417837,0.23125000000000007,0.22770355644871362,Spearman,complete_pairs
p12,robust,8,0.1104481560766086,0.012198795180722893,0.7945877119526422,Spearman,complete_pairs
p20,robust,7,0.7637626158259734,0.5833333333333334,0.04565912378141155,Spearman,complete_pairs
p3,robust,8,-0.19642857142857142,0.038584183673469385,0.6410605620747767,Spearman,averaged_replicates
p12,robust,8,0.15662650602409636,0.024531862389316293,0.7110928786626384,Spearman,averaged_replicates
p20,robust,8,-0.21597969886241555,0.04664723032069971,0.6074553965533899,Spearman,averaged_replicates
adult,robust,8,-0.6136008670922699,0.3765060240963855,0.1056606201719526,Spearman,averaged_replicates
p3,robust,8,-0.08247860988423225,0.006802721088435374,0.8460525238666443,Spearman,imputed_data
p12,robust,8,0.24892194409350668,0.061962134251290865,0.5521926406470754,Spearman,imputed_data
p20,robust,8,-0.35112344158839165,0.12328767123287668,0.3937536524573478,Spearman,imputed_data
adult,robust,8,,,,Spearman,imputed_data
p3,combined,8,0.9988864830143913,0.9977742059488599,3.4487981806073033e-09,Pearson,complete_pairs
p12,combined,8,-0.44224669314204224,0.19558213759507168,0.2725630228712287,Pearson,complete_pairs
p20,combined,7,1.0,1.0,0.0,Pearson,complete_pairs
p3,combined,8,0.045559059248877154,0.002075627879642699,0.9146948948706808,Pearson,averaged_replicates
p12,combined,8,-0.11056551226157418,0.012224732501664311,0.7943730105130136,Pearson,averaged_replicates
p20,combined,8,-0.14896732184761896,0.022191262978452093,0.7247909780742442,Pearson,averaged_replicates
adult,combined,8,0.08720038954873857,0.007603907937451755,0.8373262085605666,Pearson,averaged_replicates
p3,combined,8,0.5471454774473066,0.29936817349104106,0.16046119851421264,Pearson,imputed_data
p12,combined,8,-0.2536427456056617,0.06433464239837841,0.5444236910282658,Pearson,imputed_data
p20,combined,8,0.004389827658922346,1.9270586875039648e-05,0.9917691788821035,Pearson,imputed_data
adult,combined,8,-0.06641847543120127,0.0044114138786050874,0.8758311230938077,Pearson,imputed_data
