age,normalization,n_regions,r,r_squared,p_value,correlation_method,analysis_type
p3,none,8,0.6294273167082267,0.39617874701851835,0.0944834129830524,Pearson,complete_pairs
p12,none,8,0.563314978215307,0.31732376468171175,0.14595495992158752,Pearson,complete_pairs
p20,none,7,-0.08181496661120607,0.006693688761592765,0.8615709863668465,Pearson,complete_pairs
p3,none,8,0.19047949405098716,0.03628243765392005,0.6513957428196316,Pearson,averaged_replicates
p12,none,8,0.4610207156140211,0.2125401002252641,0.2502582104441957,Pearson,averaged_replicates
p20,none,8,0.8791947668016075,0.772983437971333,0.004017857221932157,Pearson,averaged_replicates
adult,none,8,-0.0877922623411981,0.007707481326985749,0.8362333738924735,Pearson,averaged_replicates
p3,none,8,0.19047949405098724,0.036282437653920085,0.6513957428196313,Pearson,imputed_data
p12,none,8,0.46102071561402097,0.212540100225264,0.250258210444196,Pearson,imputed_data
p20,none,8,0.8791947668016075,0.772983437971333,0.004017857221932157,Pearson,imputed_data
adult,none,8,-0.08779226234119801,0.007707481326985734,0.836233373892474,Pearson,imputed_data
p3,log,8,0.6091221465825414,0.371029789457323,0.10895393522614857,Pearson,complete_pairs
p12,log,8,0.5328682075067604,0.2839485265714679,0.17389474884595496,Pearson,complete_pairs
p20,log,7,-0.3673459220198284,0.13494302642459785,0.41758521897676304,Pearson,complete_pairs
p3,log,8,0.16032577800546793,0.025704355093058587,0.7045007811007644,Pearson,averaged_replicates
p12,log,8,0.4383328893605518,0.19213572189516975,0.2773320064608499,Pearson,averaged_replicates
p20,log,8,0.8394249411351973,0.7046342317998294,0.009144280662530847,Pearson,averaged_replicates
adult,log,8,-0.07628414160829607,0.005819270260914567,0.8575211633006098,Pearson,averaged_replicates
p3,log,8,0.16423803325940955,0.02697413156891892,0.6975465979560004,Pearson,imputed_data
p12,log,8,0.43859262042449804,0.1923634866908278,0.2770142608644255,Pearson,imputed_data
p20,log,8,0.8422496995004133,0.7093845563085365,0.008689603204582315,Pearson,imputed_data
adult,log,8,-0.08485335259282557,0.007200091446242379,0.8416620041701116,Pearson,imputed_data
p3,zscore,8,0.9980290107384739,0.996061906275617,1.911395544047796e-08,Pearson,complete_pairs
p12,zscore,8,-0.13397133156199323,0.017948317680493524,0.7517932691672911,Pearson,complete_pairs
p20,zscore,7,1.0,1.0,0.0,Pearson,complete_pairs
p3,zscore,8,-0.03881259726621014,0.001506417706549023,0.9272994320766025,Pearson,averaged_replicates
p12,zscore,8,0.10849540268670255,0.011771252404149743,0.7981618909064918,Pearson,averaged_replicates
p20,zscore,8,-0.134453302984648,0.018077690683481553,0.7509218360336747,Pearson,averaged_replicates
adult,zscore,8,-0.5348677983888996,0.2860835617533886,0.17197812827592887,Pearson,averaged_replicates
p3,zscore,8,-0.1510034364210711,0.022802037810972467,0.7211430974219842,Pearson,imputed_data
p12,zscore,8,0.05936082694216821,0.003523707775258043,0.8889596358472296,Pearson,imputed_data
p20,zscore,8,-0.07750600092805733,0.0060071801798600236,0.8552571900638442,Pearson,imputed_data
adult,zscore,8,-0.004478612971908658,2.00579741521485e-05,0.991602712966875,Pearson,imputed_data
p3,robust,8,0.3794823438779049,0.1440068493150685,0.3538295406939841,Spearman,complete_pairs
p12,robust,8,-0.6428695435311895,0.41328125,0.08555088680587317,Spearman,complete_pairs
p20,robust,7,0.7637626158259733,0.5833333333333333,0.045659123781411626,Spearman,complete_pairs
p3,robust,8,,,,Spearman,averaged_replicates
p12,robust,8,0.025993762245501817,0.0006756756756756756,0.951283645530596,Spearman,averaged_replicates
p20,robust,8,0.15776465258089756,0.024889685603971305,0.7090630166727182,Spearman,averaged_replicates
adult,robust,8,-0.2729345035777691,0.07449324324324326,0.513094558761441,Spearman,averaged_replicates
p3,robust,8,-0.08247860988423225,0.006802721088435374,0.8460525238666443,Spearman,imputed_data
p12,robust,8,0.1757499100654987,0.030888030888030882,0.6771917502669698,Spearman,imputed_data
p20,robust,8,-0.09091076054353293,0.008264766382603584,0.8304791905590311,Spearman,imputed_data
adult,robust,8,,,,Spearman,imputed_data
p3,combined,8,0.9990395375940813,0.9980799976761957,2.2134424006365325e-09,Pearson,complete_pairs
p12,combined,8,-0.4732977058516812,0.2240107183644645,0.2361900784743241,Pearson,complete_pairs
p20,combined,7,1.0,1.0,0.0,Pearson,complete_pairs
p3,combined,8,0.05001651475265148,0.0025016517480022033,0.9063753223345683,Pearson,averaged_replicates
p12,combined,8,-0.5844918387011093,0.3416307095082036,0.1280969005343209,Pearson,averaged_replicates
p20,combined,8,0.03241369289480059,0.0010506474870784462,0.9392668816109138,Pearson,averaged_replicates
adult,combined,8,-0.29390919017613365,0.08638261206999069,0.47983364636291603,Pearson,averaged_replicates
p3,combined,8,0.6012668243171808,0.3615217940244676,0.11486938969334579,Pearson,imputed_data
p12,combined,8,0.16057225236754208,0.025783448230385624,0.7040621299243388,Pearson,imputed_data
p20,combined,8,-0.11125807989948923,0.012378360342921129,0.7931061981736612,Pearson,imputed_data
adult,combined,8,-0.032827202748150375,0.0010776252402681715,0.9384931998294861,Pearson,imputed_data
