age,normalization,n_regions,r,r_squared,p_value,correlation_method,analysis_type
p3,none,8,0.6510821647003273,0.42390798519086414,0.08034529581998162,Pearson,complete_pairs
p12,none,8,0.9089708789612228,0.8262280587995379,0.0017593378643560066,Pearson,complete_pairs
p20,none,7,0.3032316333562778,0.09194942346791608,0.5085548482148926,Pearson,complete_pairs
p3,none,8,0.36939470839392863,0.13645245058943556,0.36781174064954425,Pearson,averaged_replicates
p12,none,8,0.8659361853476876,0.7498454770945048,0.005434412090632365,Pearson,averaged_replicates
p20,none,8,0.8667664371426971,0.751284056557045,0.005337555696681904,Pearson,averaged_replicates
adult,none,8,-0.6285135981263843,0.3950293430297741,0.09510924410753295,Pearson,averaged_replicates
p3,none,8,0.3693947083939282,0.13645245058943523,0.3678117406495449,Pearson,imputed_data
p12,none,8,0.8659361853476876,0.7498454770945048,0.005434412090632365,Pearson,imputed_data
p20,none,8,0.8667664371426971,0.751284056557045,0.005337555696681904,Pearson,imputed_data
adult,none,8,-0.6285135981263843,0.3950293430297741,0.09510924410753295,Pearson,imputed_data
p3,log,8,0.6025581173499891,0.3630762847843632,0.11388478746167001,Pearson,complete_pairs
p12,log,8,0.8745599467279573,0.7648551004208076,0.004481966071141909,Pearson,complete_pairs
p20,log,7,-0.5138608081955043,0.26405293019933684,0.23809940161183385,Pearson,complete_pairs
p3,log,8,0.3252589753052448,0.10579340101661783,0.43178709616977073,Pearson,averaged_replicates
p12,log,8,0.8113030941266657,0.6582127105395014,0.014509643610934824,Pearson,averaged_replicates
p20,log,8,0.798639204406609,0.6378245788152214,0.017452676127725095,Pearson,averaged_replicates
adult,log,8,-0.5114687677087384,0.2616003003414954,0.1951207069396944,Pearson,averaged_replicates
p3,log,8,0.35399231018681954,0.12531055567140145,0.38962864192812297,Pearson,imputed_data
p12,log,8,0.811008451048069,0.6577347076713881,0.014574270999059743,Pearson,imputed_data
p20,log,8,0.8031151216363471,0.6449938986009647,0.01637347083899084,Pearson,imputed_data
adult,log,8,-0.527849896258031,0.27862551297961413,0.17875520355401012,Pearson,imputed_data
p3,zscore,8,0.9991999015494952,0.998400443256521,1.2797043654161986e-09,Pearson,complete_pairs
p12,zscore,8,-0.7666707317388275,0.5877840109049491,0.026459461005855844,Pearson,complete_pairs
p20,zscore,7,1.0,1.0,0.0,Pearson,complete_pairs
p3,zscore,8,0.1000932112136314,0.010018650931056628,0.8135749601443742,Pearson,averaged_replicates
p12,zscore,8,-0.5962043362057354,0.3554596105105216,0.118775821200859,Pearson,averaged_replicates
p20,zscore,8,-0.146664046687657,0.021510342590799234,0.7289229570616321,Pearson,averaged_replicates
adult,zscore,8,0.09470764961582584,0.008969538895754036,0.823482154599281,Pearson,averaged_replicates
p3,zscore,8,0.35446608998216916,0.12564620894724723,0.38894925224203947,Pearson,imputed_data
p12,zscore,8,-0.5839545511472354,0.34100291780556913,0.1285339809064595,Pearson,imputed_data
p20,zscore,8,0.07247137945655605,0.005252100840336134,0.8645911976008812,Pearson,imputed_data
adult,zscore,8,0.04371912439986948,0.001911361838291263,0.9181310356880004,Pearson,imputed_data
p3,robust,8,0.4816283193871464,0.2319658380356871,0.2268802237365451,Spearman,complete_pairs
p12,robust,8,-0.22360679774997896,0.049999999999999996,0.5945030477052726,Spearman,complete_pairs
p20,robust,7,0.6756639246921762,0.4565217391304347,0.09571714697092193,Spearman,complete_pairs
p3,robust,8,0.08451542547285165,0.007142857142857142,0.8422865622472397,Spearman,averaged_replicates
p12,robust,8,0.17500000000000002,0.030625000000000006,0.6785126696777344,Spearman,averaged_replicates
p20,robust,8,0.0,0.0,1.0,Spearman,averaged_replicates
adult,robust,8,0.058123819371909635,0.0033783783783783777,0.8912630452236809,Spearman,averaged_replicates
p3,robust,8,-0.08247860988423225,0.006802721088435374,0.8460525238666443,Spearman,imputed_data
p12,robust,8,-0.223606797749979,0.05000000000000001,0.5945030477052725,Spearman,imputed_data
p20,robust,8,0.3937807653241084,0.15506329113924053,0.33443662538692337,Spearman,imputed_data
adult,robust,8,,,,Spearman,imputed_data
p3,combined,8,0.9998399940167384,0.9996800136353915,1.0239919884700245e-11,Pearson,complete_pairs
p12,combined,8,-0.23685138274737266,0.05609857750934242,0.5722329207008079,Pearson,complete_pairs
p20,combined,7,0.9999999999999997,0.9999999999999993,7.982324757758533e-39,Pearson,complete_pairs
p3,combined,8,0.21560518573706397,0.04648559611671385,0.6080937323960844,Pearson,averaged_replicates
p12,combined,8,0.25901012704618054,0.06708624591247858,0.5356388987264906,Pearson,averaged_replicates
p20,combined,8,-0.10813006060125144,0.011692110005630309,0.7988309288393147,Pearson,averaged_replicates
adult,combined,8,-0.005194774174796496,2.6985678727132616e-05,0.9902599736514718,Pearson,averaged_replicates
p3,combined,8,0.7801522824328243,0.6086375837851453,0.02237720164064918,Pearson,imputed_data
p12,combined,8,0.5786355860588168,0.3348191414536304,0.13290588333517206,Pearson,imputed_data
p20,combined,8,0.2566504091318401,0.06586943250754092,0.5394946725515753,Pearson,imputed_data
adult,combined,8,-0.14383242206043237,0.020687765635770353,0.7340105887129973,Pearson,imputed_data
